Dates,san,bbva
14/09/2001,41,20
17/09/2001,38,18
18/09/2001,37.667,18
19/09/2001,37.167,18
20/09/2001,37.25,17.75
21/09/2001,38.333,17.75
24/09/2001,40.75,17.75
25/09/2001,43,17.75
26/09/2001,43.333,17.75
27/09/2001,42.833,17.75
28/09/2001,38,17.75
01/10/2001,39.625,16.25
02/10/2001,39.667,16.25
03/10/2001,36.167,16.25
04/10/2001,37,16.25
05/10/2001,41,16.25
08/10/2001,44.5,16.25
09/10/2001,43.667,16.25
10/10/2001,45,16.25
11/10/2001,43.333,16.25
12/10/2001,42.333,16.25
15/10/2001,41.5,16.25
16/10/2001,43.333,16.25
17/10/2001,43.333,16.25
18/10/2001,43.5,16.25
19/10/2001,42.75,16.25
22/10/2001,43.833,16.25
23/10/2001,44.333,16.25
24/10/2001,44.5,16.25
25/10/2001,44,16.25
26/10/2001,43,16.25
29/10/2001,42.5,16.25
30/10/2001,46.667,16.25
31/10/2001,46.667,16.25
01/11/2001,47,16.25
02/11/2001,48.667,16.25
05/11/2001,48.5,16.25
06/11/2001,48.5,16.25
07/11/2001,47,16.25
08/11/2001,47,16.25
09/11/2001,45.5,16.25
12/11/2001,42.75,16.25
13/11/2001,43.167,16.25
14/11/2001,41.25,16.25
15/11/2001,38.667,16.25
16/11/2001,36,16.25
19/11/2001,37,16.25
20/11/2001,36.333,16.25
21/11/2001,35.25,16.25
22/11/2001,34.5,16.25
23/11/2001,35,16.25
26/11/2001,33,16.25
27/11/2001,32.5,16.25
28/11/2001,32.5,16.25
29/11/2001,32.167,16.25
30/11/2001,32.167,16.25
03/12/2001,33.833,16.25
04/12/2001,36.333,16.25
05/12/2001,35.5,16.25
06/12/2001,33.167,16.25
07/12/2001,34,16.25
10/12/2001,33.333,16.25
11/12/2001,32.25,16.25
12/12/2001,32,16.25
13/12/2001,33,16.25
14/12/2001,32.333,16.25
17/12/2001,35.25,16.25
18/12/2001,35.5,16.25
19/12/2001,35.5,16.25
20/12/2001,38.75,16.25
21/12/2001,38.75,16.25
24/12/2001,38.75,16.25
25/12/2001,38.75,16.25
26/12/2001,38.75,16.25
27/12/2001,38.75,16.25
28/12/2001,38.75,16.25
31/12/2001,38.75,16.25
01/01/2002,38.75,16.25
02/01/2002,40.167,16.25
03/01/2002,35,16.25
04/01/2002,33.5,16.25
07/01/2002,37.5,16.25
08/01/2002,39.25,16.25
09/01/2002,39.25,16.25
10/01/2002,40.75,16.25
