Dates,san,bbva
05/04/1999,8.7117,13.2582
06/04/1999,9.0831,13.6137
07/04/1999,9.0464,13.6809
08/04/1999,9.1702,13.777
09/04/1999,9.2711,13.7578
12/04/1999,9.3399,13.729
13/04/1999,9.6425,13.9307
14/04/1999,9.6929,13.9211
15/04/1999,9.8121,13.8635
16/04/1999,9.858,14.0076
19/04/1999,9.913,14.267
20/04/1999,9.4086,14.0268
21/04/1999,9.4591,13.9884
22/04/1999,9.3903,13.8827
23/04/1999,9.4132,13.7386
26/04/1999,9.4132,13.6329
27/04/1999,9.4774,13.7386
28/04/1999,9.3903,13.5945
29/04/1999,9.3995,13.4696
30/04/1999,9.427,13.6041
03/05/1999,9.4866,13.8635
04/05/1999,9.3536,13.6617
05/05/1999,9.3949,13.5176
06/05/1999,9.3765,13.4984
07/05/1999,9.4682,13.6137
10/05/1999,9.4499,13.6617
11/05/1999,9.3536,13.6137
12/05/1999,9.4362,13.6137
13/05/1999,9.4591,13.8154
14/05/1999,9.3857,13.4984
17/05/1999,9.3078,13.3159
18/05/1999,9.2207,13.2678
19/05/1999,9.294,13.6425
20/05/1999,9.2436,13.508
21/05/1999,9.1702,13.6905
24/05/1999,9.1473,13.5849
25/05/1999,9.1473,13.4311
26/05/1999,9.2069,13.3927
27/05/1999,9.1519,13.1814
28/05/1999,9.1702,13.287
31/05/1999,9.1656,13.3735
01/06/1999,9.2298,13.4311
02/06/1999,9.1794,13.2486
03/06/1999,9.3582,13.508
04/06/1999,9.4407,13.4504
07/06/1999,9.4224,13.4696
08/06/1999,9.5141,13.2102
09/06/1999,9.3949,13.3639
10/06/1999,9.2161,13.0757
11/06/1999,9.2803,13.6425
14/06/1999,9.1702,13.4408
15/06/1999,9.3811,13.4984
16/06/1999,9.372,13.4408
17/06/1999,9.4453,13.4888
18/06/1999,9.5829,13.6713
21/06/1999,9.537,13.7002
22/06/1999,9.5095,13.777
23/06/1999,9.4545,13.6809
24/06/1999,9.4178,13.4984
25/06/1999,9.2986,13.5368
28/06/1999,9.4453,13.6425
29/06/1999,9.537,13.6137
30/06/1999,9.2619,13.46
01/07/1999,9.537,13.6617
02/07/1999,9.537,13.6713
05/07/1999,9.6287,13.729
06/07/1999,9.537,13.5753
07/07/1999,9.3995,13.5176
08/07/1999,9.2436,13.3735
09/07/1999,9.3903,13.5176
12/07/1999,9.3628,13.3351
13/07/1999,9.1519,13.0757
14/07/1999,8.941,12.9027
15/07/1999,9.0052,12.9412
16/07/1999,8.941,12.7874
19/07/1999,9.161,12.7586
20/07/1999,9.1244,12.5473
21/07/1999,9.051,12.4992
22/07/1999,8.8951,12.3839
23/07/1999,8.7484,12.2783
26/07/1999,8.62,12.0285
27/07/1999,8.4183,11.7979
28/07/1999,8.5375,11.4808
29/07/1999,8.3907,11.2118
30/07/1999,8.5008,11.2791
02/08/1999,8.3541,11.4808
03/08/1999,8.3541,11.3559
04/08/1999,8.5833,11.2983
05/08/1999,8.2532,11.0965
06/08/1999,8.3082,10.962
09/08/1999,8.5375,10.962
10/08/1999,8.3266,10.6258
11/08/1999,8.565,10.8275
12/08/1999,8.5466,11.0389
13/08/1999,8.5283,11.4712
16/08/1999,8.4641,11.673
17/08/1999,8.6659,11.9228
18/08/1999,8.8034,11.7979
19/08/1999,8.8126,11.894
20/08/1999,8.9501,12.0381
23/08/1999,8.7667,12.2302
24/08/1999,8.9685,12.3167
25/08/1999,9.0877,12.3263
26/08/1999,9.0235,12.4512
27/08/1999,9.0693,12.5377
30/08/1999,9.0877,12.4704
31/08/1999,8.7209,12.1245
01/09/1999,8.9134,12.1918
02/09/1999,8.6292,11.8747
03/09/1999,8.941,12.1534
06/09/1999,8.7851,12.1534
07/09/1999,8.7117,11.9708
08/09/1999,8.675,11.9708
09/09/1999,8.9226,12.0285
10/09/1999,8.941,12.1726
13/09/1999,8.8401,12.0669
14/09/1999,8.8951,12.1053
15/09/1999,9.051,12.1918
16/09/1999,8.941,12.1534
17/09/1999,9.1244,12.0189
20/09/1999,9.0143,12.0093
21/09/1999,8.9226,11.8459
22/09/1999,8.9501,11.8747
23/09/1999,9.0602,11.9996
24/09/1999,9.0602,11.9996
27/09/1999,9.1335,12.1534
28/09/1999,9.0602,11.9324
29/09/1999,8.9593,11.942
30/09/1999,8.9043,11.894
01/10/1999,8.8768,11.942
04/10/1999,8.9685,11.9612
05/10/1999,8.9134,12.1918
06/10/1999,8.8493,12.1822
07/10/1999,8.9318,12.432
08/10/1999,8.8859,12.6337
11/10/1999,8.8859,12.6337
12/10/1999,8.9043,12.701
13/10/1999,8.7576,12.3839
14/10/1999,8.7117,12.3359
15/10/1999,8.5741,12.259
18/10/1999,8.4458,12.259
19/10/1999,8.6475,12.3071
20/10/1999,8.7942,12.4992
21/10/1999,8.6108,11.99
22/10/1999,8.73,12.0669
25/10/1999,8.5466,12.0093
26/10/1999,8.6659,11.99
27/10/1999,8.6383,11.9036
28/10/1999,8.7851,12.1053
29/10/1999,8.7851,12.1053
01/11/1999,9.0693,12.2783
02/11/1999,9.106,12.2494
03/11/1999,9.4453,12.4512
04/11/1999,9.7296,12.5857
05/11/1999,9.8121,12.749
08/11/1999,9.858,12.8547
09/11/1999,9.8213,12.7394
10/11/1999,9.9955,12.8259
11/11/1999,9.9589,12.7394
12/11/1999,9.8763,12.7298
15/11/1999,10.0322,12.7874
16/11/1999,10.1789,12.8931
17/11/1999,10.1423,12.8739
18/11/1999,9.9955,12.7682
19/11/1999,9.9589,12.7202
22/11/1999,9.6746,12.7298
23/11/1999,9.9038,12.8259
24/11/1999,10.0139,12.97
25/11/1999,10.0964,13.2678
26/11/1999,10.1331,13.3543
29/11/1999,9.8947,13.2102
30/11/1999,10.0047,13.3062
01/12/1999,10.0597,13.2198
02/12/1999,9.9038,13.0661
03/12/1999,9.9038,13.0661
06/12/1999,9.858,13.2966
07/12/1999,9.858,13.2966
08/12/1999,10.0414,13.4504
09/12/1999,10.2156,13.6425
10/12/1999,10.3623,13.508
