,bbva_returns_1d,bbva_returns_2d,bbva_returns_3d,bbva_returns_4d,bbva_returns_5d,bbva_returns_10d,bbva_returns_21d,bbva_returns_50d,bbva_momentum_1d,bbva_momentum_2d,bbva_momentum_3d,bbva_momentum_4d,bbva_momentum_5d,bbva_momentum_10d,bbva_momentum_21d,bbva_momentum_50d,bbva_sma_5d,bbva_sma_10d,bbva_sma_15d,bbva_sma_20d,bbva_sma_25d,bbva_sma_50d,bbva_sma_105d,bbva_sma_250d,bbva_volatility_20d,bbva_volatility_40d,bbva_volatility_60d,bbva_volatility_80d,bbva_volatility_100d,bbva_volatility_200d,bbva_driftless_volatility_20d,bbva_driftless_volatility_40d,bbva_driftless_volatility_60d,bbva_driftless_volatility_80d,bbva_driftless_volatility_100d,bbva_driftless_volatility_200d,bbva_sgn_returns_1d,bbva_sgn_returns_2d,bbva_sgn_returns_3d,bbva_sgn_returns_4d,bbva_sgn_returns_5d,bbva_sgn_returns_10d,bbva_sgn_returns_21d,bbva_sgn_returns_50d,bbva_cds_returns_1d,bbva_cds_returns_2d,bbva_cds_returns_3d,bbva_cds_returns_4d,bbva_cds_returns_5d,bbva_cds_returns_10d,bbva_cds_returns_21d,bbva_cds_returns_50d,bbva_cds_momentum_1d,bbva_cds_momentum_2d,bbva_cds_momentum_3d,bbva_cds_momentum_4d,bbva_cds_momentum_5d,bbva_cds_momentum_10d,bbva_cds_momentum_21d,bbva_cds_momentum_50d,bbva_volumes_momentum_1d,bbva_volumes_momentum_2d,bbva_volumes_momentum_3d,bbva_volumes_momentum_4d,bbva_volumes_momentum_5d,bbva_volumes_momentum_10d,bbva_volumes_momentum_21d,bbva_volumes_momentum_50d,bbva_median_volumes_20d,bbva_median_volumes_40d,bbva_median_volumes_60d,bbva_median_volumes_80d,bbva_median_volumes_100d,bbva_median_volumes_200d,bbva_dvd_proxy_1d,bbva_stochastic_oscillator_5d,bbva_stochastic_oscillator_14d,bbva_rsi_14d,bbva_macd_12_26d,bbva_cci_20d,bbva_atr_14d,bbva_ad_1d,bbva_results_1d
bbva_returns_1d,1.0,0.7291649852914965,0.5843644304540296,0.4940645438222577,0.4441759922766448,0.29703502554780575,0.20565854455418567,0.12924611179033935,0.9304200783013052,0.679904569767774,0.5446232059360067,0.4636311269856886,0.41719816685177596,0.27975597907721755,0.19563124639286586,0.12154974243594573,-0.00393492450537589,-0.007508401071310711,-0.008385848502240958,-0.009000409473732806,-0.00905653706037399,-0.009271265833278282,-0.008684177259643894,-0.009077822225534687,0.005057603344207593,0.012560456966241609,0.016968403510545706,0.013149292351208266,0.014546806458579798,0.022674477705734934,-0.007569989570669927,0.00259734106653776,0.01105329908569115,0.011840303977775269,0.013995551849553022,0.022103609374931846,0.6959440455265786,0.5109957115653996,0.4209669185586554,0.3561933910586293,0.3061818973905644,0.20774367492670281,0.14073489566191627,0.09378433947019313,-0.3847125043934709,-0.3015043290098518,-0.22934070381956628,-0.195136636626863,-0.16042095046403243,-0.10852511957927127,-0.08129672245793883,-0.057707272440716016,-0.38131376295629515,-0.282485369490827,-0.19525817094759254,-0.1604536129720975,-0.1304702534272819,-0.094448962470687,-0.07674707085945048,-0.056923708233137464,-0.007337613736095015,-0.014123212762756047,-0.00822234386491434,0.008706300215266591,0.008722356061727346,-0.010529328891036714,0.015853350091246096,-0.028810983862591184,-0.008321719599638613,-0.01364543357571462,0.007456005752761611,0.008202220205589743,0.0016818950071604652,0.0002836851308200629,-0.001497898168418948,0.6002858091383007,0.4119485127103234,0.15685219790321428,0.0005893338489079507,0.2870075192768496,-0.012435542764801435,-0.013484559840514358,0.04804487720588069
bbva_returns_2d,0.7291649852914965,1.0,0.8313507351355335,0.7081978378142846,0.6262768857197295,0.42508744955642225,0.2957012989999276,0.18558375188426146,0.673582149277274,0.9319051330309936,0.7745323463578005,0.660140491555288,0.5860675517716547,0.39841369536978555,0.2783624497343812,0.17353723891510336,0.00099193965131187,-0.007297090636253143,-0.009427492621903103,-0.010777587785550345,-0.011193548669254406,-0.012078023180855683,-0.011302840724411026,-0.011813526491559282,0.00525025781602912,0.016744359439541213,0.023374310853774585,0.01829538751318334,0.01965577837711593,0.031049449998695876,-0.01443124896782261,0.0012546791986901536,0.014511902470406134,0.01487760954910393,0.018409545619739027,0.029767824315397536,0.5086175634764399,0.70535539490448,0.5899160812308327,0.5094667758817927,0.4466929173622012,0.2920785876758088,0.2090362247941911,0.139561249514504,-0.3480318464958916,-0.44188458201652075,-0.3656159448805397,-0.3046955789140044,-0.2618113429037348,-0.1678949529658701,-0.1275332779277063,-0.08875453892518884,-0.35104330392203675,-0.41729238999935203,-0.3322023092866522,-0.26374278299377424,-0.22310478939241585,-0.14545910178345473,-0.12115424327038138,-0.09168519538309479,-0.013932682780324562,-0.021983227872490785,-0.02249725904740504,-0.007043217768452194,0.004234031918401762,-0.016096597060571,0.013538723687055002,-0.03776145609160695,-0.01470516916661691,-0.021778767723137495,0.008341644356216114,0.00959353574109163,0.0012092340385572548,-0.0007379601230733886,-0.0019488059122875886,0.7197737371202768,0.5318341638362598,0.21887459882980442,0.005312441506923557,0.4468286135402242,-0.01953080117188552,-0.01914423634773516,0.02836643916634157
bbva_returns_3d,0.5843644304540296,0.8313507351355335,1.0,0.8752206898274745,0.7737132165184519,0.5234800030280241,0.3653391063353639,0.22764893057963154,0.5359715990732858,0.7695349109687654,0.9310798960701485,0.8137582933477834,0.7199873735192942,0.48897163910694896,0.34246153867417056,0.21082615933088267,0.009454224284869722,-0.004887569733218281,-0.008661989147114158,-0.010898500615714384,-0.011849408308655485,-0.013652854064774792,-0.012917977656088002,-0.013653343335336677,0.00018604660594585563,0.017955556561248046,0.02647795811785052,0.02034207520774383,0.022150109055928714,0.036680901509182386,-0.024186337852126722,-0.00157589144898104,0.01556497233857419,0.01570439819098139,0.020477026617088532,0.035171094101226666,0.4089191836348643,0.587107147481291,0.7058667912540366,0.6202358274958573,0.5485891123537935,0.3588451627760812,0.2588942457105373,0.17038019257956732,-0.29667193338503034,-0.414755247660069,-0.45581894795509414,-0.3970909893870312,-0.34099732081125717,-0.21556486202415362,-0.16341200473529224,-0.1127306971426226,-0.28992618446497154,-0.38838287965176377,-0.41592329583503185,-0.3545912111479827,-0.29515184475577655,-0.18334854528813407,-0.15428273881595586,-0.11742446208118175,-0.01824820743245191,-0.030226522609497045,-0.0336928685248675,-0.024811753711597564,-0.013561453696292882,-0.028533808507505337,0.0036549662080443777,-0.04809470784045764,-0.021891081532314744,-0.02946137814074134,0.007966493121290236,0.009706424953663393,0.00024959948303853125,-0.0016985832918587033,-0.002823163389072381,0.7610086782986111,0.6057215335633765,0.2698925790667281,0.012660358139511076,0.5434610853765107,-0.026994292557512352,-0.023778136964027367,0.01481952849213399
bbva_returns_4d,0.4940645438222577,0.7081978378142846,0.8752206898274745,1.0,0.9010177763533236,0.6042315945841336,0.4259132645796523,0.26451149452522793,0.4558295964672457,0.6550515701930667,0.812753261318654,0.9311254376389637,0.8384672288753958,0.5658554926598646,0.3991978235839523,0.2446291521488936,0.020350775863109582,-0.001345878415143279,-0.0071554438846420584,-0.010450843036708629,-0.01208235595707173,-0.015025936349395997,-0.014577983888317839,-0.015705684749369578,-0.007128873508701325,0.016076109711694937,0.027526285105540806,0.020740850526209182,0.02318080310432255,0.0410396873023291,-0.034591036006605784,-0.005803045036775597,0.01524690930130027,0.015373215368344722,0.02200004343167011,0.03948552362569413,0.3485330168482231,0.5019451538927373,0.6252942043674725,0.7124958387148874,0.6441289627011377,0.4251309867701841,0.30442553968739605,0.19775139779873166,-0.26266996323580966,-0.3731121112458951,-0.4385491362394806,-0.46564049792494516,-0.4147024510373335,-0.2566641234044246,-0.19658164484512664,-0.13401146177675047,-0.2500655563704294,-0.33945016325080074,-0.3951785707334972,-0.4171098022358945,-0.36598097097556054,-0.2137932477720698,-0.18481185421335647,-0.13825443779743546,-0.02009708249662525,-0.03519936912911679,-0.04319467547418518,-0.03815858564234666,-0.03264702303396401,-0.03211913062675003,-0.01400834594881854,-0.059771712464135034,-0.03016744934042175,-0.035268425861286666,0.006526112379255044,0.009457852827059654,-0.0005508347300345427,-0.0020342586854287504,-0.00316158899140318,0.7693679785578411,0.6600582959074327,0.3117846602392316,0.0224136551620769,0.6111697366624035,-0.036022382216504535,-0.027308047638447814,0.007395518126504659
bbva_returns_5d,0.4441759922766448,0.6262768857197295,0.7737132165184519,0.9010177763533236,1.0,0.6814424697549829,0.47775442636816906,0.29713665177460635,0.40951609816060297,0.5807380446912609,0.7179798977259425,0.8371495754031613,0.9314875504509219,0.6373737848383609,0.4468534520546883,0.2746080109366821,0.03328076837679825,0.0035189662770182986,-0.004697749554476799,-0.009172295262020444,-0.011571940822477051,-0.015831600523776936,-0.01588326357943616,-0.017541450990759686,-0.016697230214383355,0.012543848641996118,0.026534492245806725,0.01911966280957604,0.022701144988621344,0.04408200845193767,-0.04611402954460082,-0.011265886032990429,0.013419020038029543,0.01325085645166822,0.02190934710064447,0.04254067746283522,0.30769373999708605,0.44797864629964473,0.5562257642904672,0.6447980835324473,0.7119735269522792,0.4862209657017411,0.34026136771784843,0.21753648715969975,-0.22895282996652178,-0.33358721479057113,-0.39894813125640116,-0.4469024932550489,-0.465135811313079,-0.2928929901116124,-0.22253675962196465,-0.15262132110492518,-0.2152975624377459,-0.2975955466003672,-0.35105969363501227,-0.3959239310790763,-0.41231318659538696,-0.24168441392954207,-0.20566293645523376,-0.15501732915736677,-0.02349909790854353,-0.03959034263984715,-0.05097444493392243,-0.050831866414394286,-0.049353155928900556,-0.03710667101554436,-0.03444999642020729,-0.07978294512128413,-0.03843801240672341,-0.04024411817824926,0.0053913318713433335,0.009099614134429855,-0.0007874507562670021,-0.002080792590158958,-0.003212859681700049,0.7267272810016203,0.6996604272849665,0.3470416387108516,0.03399380058172185,0.6607934537919503,-0.04622497259806194,-0.030038733439723433,0.0027065548693906497
bbva_returns_10d,0.29703502554780575,0.42508744955642225,0.5234800030280241,0.6042315945841336,0.6814424697549829,1.0,0.6837114037524826,0.43142294644447354,0.2719248377949352,0.39115227525550134,0.48308505088287484,0.5599734416226166,0.6322231145287728,0.9334383117351045,0.6361326290788938,0.3976420787204163,0.07449430361562231,0.039093227017588744,0.013758532832116133,0.001739834151365434,-0.005588299533978184,-0.019073418502139262,-0.023009041510275725,-0.028147998179210407,-0.07747652962989392,-0.01367506633272482,0.012192146702861536,0.00925447578009145,0.015717008959847522,0.055139765825985114,-0.11078026501534305,-0.04487077806039595,-0.0032497867888901296,0.0012755301589447655,0.018091693654701257,0.053731894595880764,0.20941110621606185,0.3075419014773094,0.38013793560635467,0.44492029300089847,0.4984832915478744,0.7101917853681553,0.4989712963226669,0.3188743210251121,-0.16918575840042058,-0.2422660822003897,-0.28813562108892626,-0.32280142137190543,-0.3536475028193226,-0.45571604339060795,-0.3222076221250014,-0.23057313684991984,-0.17098759558577795,-0.22561697620160917,-0.25781722253299366,-0.2842201166667667,-0.3110093623262807,-0.39747204476459325,-0.287991325294041,-0.2265395120804279,-0.005271488095328954,-0.00919140984905004,-0.012568297643944076,-0.00839979791751371,-0.006392844392452749,-0.03465507493039184,-0.02450680439445935,-0.09103153363532247,-0.06513106607979624,-0.06670223737939725,-0.003549735600561737,0.00868893740320816,-0.00010429754616732203,-0.0016445200877383329,-0.0016661949532006909,0.5087524134612444,0.7612901404698021,0.48439194240263367,0.10460984472327786,0.7622388547685935,-0.09794553567511323,-0.03838970041636821,-0.017121728813131218
bbva_returns_21d,0.20565854455418567,0.2957012989999276,0.3653391063353639,0.4259132645796523,0.47775442636816906,0.6837114037524826,1.0,0.6338293905402802,0.19192465815441173,0.27605678114734045,0.34170570087265567,0.39851761658272633,0.4461919838884644,0.6355011507399975,0.9334896534061052,0.5895282511380129,0.13471528965266796,0.11062086506241121,0.08737116898027043,0.06385767567356654,0.04226836435331135,0.00011205287546960972,-0.017714131955705863,-0.03342058311816836,-0.25469452648798846,-0.12140806144534741,-0.06443108595935018,-0.049717893744366054,-0.038880827105518594,0.04198039493429829,-0.29708798018060933,-0.1677598609552022,-0.09085714154948274,-0.06900068617950728,-0.03839185049931125,0.03742163969637424,0.14013201590536617,0.2158950264829097,0.26119076661627477,0.3008807209374157,0.342113140804144,0.4792570368053961,0.7120890812776308,0.45786798755566605,-0.1316092630965382,-0.18968778189822555,-0.22780620955779982,-0.25941272127040654,-0.28413845883305305,-0.3641955039870601,-0.4759588256700843,-0.3468888969201492,-0.13012267266665592,-0.1760537425630201,-0.20648295040831788,-0.2335786446238228,-0.25502775735401717,-0.31630373138500817,-0.42810713735507544,-0.3420128075346201,-0.002796506190900216,-0.007227131319444487,-0.010491115133140714,-0.012342606347878237,-0.00902684865938441,-0.011258525872010972,-0.02676700295052812,-0.08252801902561674,-0.11178359977681228,-0.11441523577747457,-0.043979883479616635,-0.000421140586110734,-0.006289252716206211,0.000748432715179092,-0.00108572419557648,0.361307158216583,0.5830316768819914,0.4528128396633561,0.27714666845863517,0.6321993241364567,-0.17153071376883566,-0.05504636165976615,-0.012844396504064817
bbva_returns_50d,0.12924611179033935,0.18558375188426146,0.22764893057963154,0.26451149452522793,0.29713665177460635,0.43142294644447354,0.6338293905402802,1.0,0.1180914608705741,0.17021313174309186,0.20852377396463836,0.24245923691219198,0.27271784873612104,0.398163205078049,0.5887070061014317,0.9329663562661941,0.23245926403638714,0.21781258284594393,0.20317538426738396,0.18849272118162447,0.17349462427061935,0.09793129973285515,0.022382589969845018,-0.030410264692541645,-0.45884620580155344,-0.3894542086249863,-0.27261614059382966,-0.20546725433973342,-0.17018960973154681,-0.023826150646979096,-0.4684766273206902,-0.43001869585511326,-0.3117564881511399,-0.2383501420019556,-0.1861988816907415,-0.030238847909682804,0.08717038258044922,0.1273804955267828,0.17036203767161326,0.1989578896296706,0.2092902775215213,0.3149284943053874,0.47364422408811296,0.7277583280044896,-0.08379262495637661,-0.1233807009397845,-0.14887648411745497,-0.16943660984992887,-0.18620075391444374,-0.25199552626648364,-0.35346293427584735,-0.5461512943092879,-0.07944081901977054,-0.10998681551981293,-0.12977727789284038,-0.14739110611027428,-0.16211549508061604,-0.22297377031965054,-0.33677317680884006,-0.5601562969593515,-0.002657822426927349,-0.004505150886359383,-0.004577971211482005,-0.0016286427329376234,-0.0019831516785273015,-0.01182451224047278,-0.029777580767227738,-0.07855950203872676,-0.18692039710483688,-0.2139244721596525,-0.16014453745610227,-0.08985848279153914,-0.05102932747193977,-0.027536380078523718,-0.004776379434892012,0.23968311382877583,0.3814305799954209,0.3086503237630584,0.6255376090964858,0.41281570422685976,-0.24224384262812174,-0.08382814022710917,-0.017415693830766816
bbva_momentum_1d,0.9304200783013052,0.673582149277274,0.5359715990732858,0.4558295964672457,0.40951609816060297,0.2719248377949352,0.19192465815441173,0.1180914608705741,1.0,0.7233940590774792,0.5779372435237806,0.4937373280591166,0.44313382304192894,0.29539322913364974,0.2093030304703384,0.1305377930293923,-0.009201054833593314,-0.01287202441100127,-0.013828120815495708,-0.014431161850135623,-0.014595299406490368,-0.014853760947722047,-0.014730588315759558,-0.016885392494987057,0.005927309222182829,0.011456015073498091,0.01368702494196131,0.00942880312280293,0.010678717454393367,0.019185394927411545,-0.004467463837673929,0.0020989526732668982,0.007246065584978934,0.007476981479451773,0.009139856809180275,0.01785422688787726,0.7122350067988941,0.5211035389482246,0.4237029494752332,0.36350375675612095,0.3096754624412847,0.21396619449275286,0.1475295637914592,0.09914465444820414,-0.35452746878509017,-0.2731709555423986,-0.2025155083693528,-0.17033748946272628,-0.14063848649782157,-0.09689237680750643,-0.07524845018228246,-0.051399367637822525,-0.35937534069562144,-0.26706749952638786,-0.17870425794871062,-0.14772812091005275,-0.11940096294571013,-0.08687863945690406,-0.07161800187939255,-0.05053035796360206,0.0002762864871110349,0.0007201786845237022,-0.0018031730304723422,0.014616691777829753,0.022693383080271225,0.0019247575532481394,0.019463150199786224,-0.02307639777935053,-0.01406595988399265,-0.021563512745561186,-0.004185311591702426,-0.0039757643311469255,-0.01059013041593495,-0.011863670394245273,-0.004166475807531459,0.6104487921154536,0.4203775400574281,0.1671709543971238,0.004921646185638187,0.29661385352368697,-0.017211784510081207,-0.0111393666386285,0.037430416905790964
bbva_momentum_2d,0.679904569767774,0.9319051330309936,0.7695349109687654,0.6550515701930667,0.5807380446912609,0.39115227525550134,0.27605678114734045,0.17021313174309186,0.7233940590774792,1.0,0.8261287375948346,0.7044447714547725,0.625768837517637,0.42152379818747465,0.29792971429321796,0.18630203771635537,-0.00588840090291231,-0.01462540053596985,-0.01689954527043874,-0.018288282888880323,-0.018866684754199232,-0.019863114413912135,-0.019741418013277747,-0.022716530425759465,0.006531591139351814,0.014835628245535129,0.018438378770251968,0.012934637587481208,0.014167043745964404,0.026290156508759762,-0.009694743554555173,0.000856541609430117,0.0095039068580285,0.009146150301947193,0.011976875056587694,0.02426507852915398,0.5167413068880115,0.7245338615864354,0.6010065595290602,0.5180802757158205,0.4559115522683727,0.30090493914640043,0.21731485952175547,0.14907903226850086,-0.33378674067133074,-0.41442189241864785,-0.33668320997051426,-0.2761685534857629,-0.23673323748804168,-0.15176140569292884,-0.12025918699425858,-0.08135533627940701,-0.3309098336630109,-0.39539651275156923,-0.3111068014605869,-0.24388945105468185,-0.20633369245704639,-0.1321392312558848,-0.11442208053840697,-0.08224121500803849,-0.014599241071493003,-0.01239350825125746,-0.013273913731087694,-0.0034553390555026103,0.013198010462146534,-0.0040619371695748965,0.015314265055407313,-0.03377792453788528,-0.022370551003167722,-0.0327017782581645,-0.0076189006458808025,-0.007095303081496049,-0.015596762812070097,-0.017542374972552587,-0.005872902523129141,0.7332927298358957,0.5428820210914418,0.23450237761668277,0.011722236464002762,0.4643966563353421,-0.027393415139266637,-0.01605194317691133,0.016310485289946854
