,san_returns_1d,san_returns_2d,san_returns_3d,san_returns_4d,san_returns_5d,san_returns_10d,san_returns_21d,san_returns_50d,san_momentum_1d,san_momentum_2d,san_momentum_3d,san_momentum_4d,san_momentum_5d,san_momentum_10d,san_momentum_21d,san_momentum_50d,san_sma_5d,san_sma_10d,san_sma_15d,san_sma_20d,san_sma_25d,san_sma_50d,san_sma_105d,san_sma_250d,san_volatility_20d,san_volatility_40d,san_volatility_60d,san_volatility_80d,san_volatility_100d,san_volatility_200d,san_driftless_volatility_20d,san_driftless_volatility_40d,san_driftless_volatility_60d,san_driftless_volatility_80d,san_driftless_volatility_100d,san_driftless_volatility_200d,san_sgn_returns_1d,san_sgn_returns_2d,san_sgn_returns_3d,san_sgn_returns_4d,san_sgn_returns_5d,san_sgn_returns_10d,san_sgn_returns_21d,san_sgn_returns_50d,san_cds_returns_1d,san_cds_returns_2d,san_cds_returns_3d,san_cds_returns_4d,san_cds_returns_5d,san_cds_returns_10d,san_cds_returns_21d,san_cds_returns_50d,san_cds_momentum_1d,san_cds_momentum_2d,san_cds_momentum_3d,san_cds_momentum_4d,san_cds_momentum_5d,san_cds_momentum_10d,san_cds_momentum_21d,san_cds_momentum_50d,san_volumes_momentum_1d,san_volumes_momentum_2d,san_volumes_momentum_3d,san_volumes_momentum_4d,san_volumes_momentum_5d,san_volumes_momentum_10d,san_volumes_momentum_21d,san_volumes_momentum_50d,san_median_volumes_20d,san_median_volumes_40d,san_median_volumes_60d,san_median_volumes_80d,san_median_volumes_100d,san_median_volumes_200d,san_dvd_proxy_1d,san_stochastic_oscillator_5d,san_stochastic_oscillator_14d,san_rsi_14d,san_macd_12_26d,san_cci_20d,san_atr_14d,san_ad_1d,san_results_1d
san_returns_1d,1.0,0.7139648939404312,0.5753442502345166,0.48987510564423764,0.4419136563326071,0.30646694359485493,0.2153437978081514,0.13594421241875654,0.9281824223613668,0.664824066314822,0.5356254494142716,0.45932600090083614,0.4157712403626592,0.2900311946595397,0.20849597659292848,0.12867172298055726,-0.0033127535129363057,-0.007345553382133337,-0.008402619525923909,-0.008679391380850216,-0.009390996886767247,-0.010897218406638104,-0.01163026636715284,-0.009633307625752036,-0.0011185379617636227,0.003135592065391861,0.01327516839057813,0.01090479617895724,0.012515477475920186,0.024798448420329914,-0.015909565715733542,-0.004359518596175593,0.005561854459189149,0.004196820530861976,0.008689573872783934,0.022604175557107475,0.6894195133745968,0.5023755135337405,0.4067456340402883,0.3446340893303746,0.3056144278259137,0.20757204923181422,0.1389197463605787,0.08715776238861841,-0.4943700002004178,-0.35140972356741096,-0.2760190906113134,-0.23042367033210856,-0.1934465661590306,-0.12233083979701705,-0.10231529426831704,-0.06382604415004549,-0.49834073097579235,-0.3592567273039541,-0.2770239514003285,-0.22488385979960837,-0.18320656325423879,-0.12446382887408246,-0.10809661257366371,-0.05905968804859002,-0.018661502115207416,-0.004844405675970614,-0.01416647694553682,-0.01805939499810395,0.004658255169914299,-0.01783333294723824,-0.01938158602313526,-0.04612139069485219,-0.02943902659448155,-0.005164874303791503,0.00024937418333273383,-0.00994158030467648,-0.005013662380669088,-0.0016690547051022803,-0.004723375600200061,0.5866480803857428,0.40637227767287704,0.15910974982544748,0.005154730035627419,0.282180309385274,-0.014927653295109705,-0.022395484889151943,0.015155741975211672
san_returns_2d,0.7139648939404312,1.0,0.8200440953863273,0.701115708435406,0.6228720656501306,0.4332104402940858,0.3040956946224285,0.19167564479613278,0.6526816342063539,0.9299564662683463,0.7612286285791238,0.6512730580495435,0.5814974814898175,0.4088219327068319,0.29085129324850184,0.18017265345219513,0.0018357373184272015,-0.007280894916962974,-0.009845397589954738,-0.010777403762795445,-0.01202657100181526,-0.014829284617378412,-0.015930851014072392,-0.013215217168585609,-0.004271907760158085,0.003322179594332036,0.018881636320149567,0.015457995015998576,0.01761622520459019,0.03463426307008852,-0.0265648021545434,-0.009770197889510824,0.006386199113364527,0.0039834969715385185,0.011451547894361851,0.030821627165098755,0.492200228705719,0.6991099000375411,0.5767861221483606,0.49511986327417684,0.4450983371984826,0.29964824980642596,0.20485281687972812,0.12478209858601404,-0.4515889577897712,-0.5397533775160626,-0.4394697999953943,-0.37205574714212547,-0.32006281464604297,-0.20019180475977535,-0.16083559848470125,-0.10154623481851156,-0.4578342662362224,-0.5481279179210659,-0.44762831674348136,-0.37372958162031067,-0.3150180204567495,-0.20771614252400572,-0.17484832663107558,-0.10056498282120177,-0.031916337157752335,-0.0308575826083662,-0.028603852995305608,-0.03729375182776793,-0.02463840541662075,-0.033184779944068515,-0.03370776572036015,-0.08363154307159011,-0.04626977951127019,-0.01071916690487139,-0.0015287705176662775,-0.015290109169244287,-0.00911353067718168,-0.0036311683347181193,-0.006832412324318746,0.7032362789723473,0.5247926926545093,0.22090580800828702,0.011704275866673148,0.441017363459624,-0.02550538144982582,-0.032283932665512875,0.003350503328235364
san_returns_3d,0.5753442502345166,0.8200440953863273,1.0,0.8666211874511311,0.7683405738188945,0.5328075454623389,0.3706571357689488,0.2334657300430612,0.5201140043647463,0.7527483051737605,0.9281048099487709,0.802161806063366,0.7120029305505381,0.49911962483519734,0.3518122405148024,0.21671463536318195,0.011065865359278627,-0.004488310195289274,-0.009028820022590148,-0.010814253734036498,-0.012674880475094354,-0.016963818599073973,-0.01862928067776061,-0.015548973145156507,-0.012954240857266772,0.0013771555595095204,0.020600792944574804,0.016389410332083656,0.01960340376127028,0.04103532641486156,-0.03920942423640652,-0.01620897552467835,0.0051203843332796335,0.0016915689524436726,0.011658952230242537,0.03622950982365698,0.39677615303969155,0.5725949176884685,0.6996562560772037,0.6064780722073317,0.5457032960764618,0.36700263370697933,0.25726619554069713,0.15063626972193844,-0.3863949741417868,-0.5088974088924748,-0.5560153262542991,-0.483526218853785,-0.4221764567060073,-0.26808607190230227,-0.20511831207647052,-0.13174762290185416,-0.38525064901704903,-0.513210018568639,-0.5627521246500424,-0.49035789519332595,-0.42287513392400317,-0.27798849263825376,-0.22429239612229168,-0.13338654554746893,-0.0009290174960142477,-0.0169142464158507,-0.02423430148222203,-0.02539823322559925,-0.020303084926270098,-0.027524639700445584,-0.02660663564544307,-0.08077298436494591,-0.062170972526809594,-0.016582582834640983,-0.0030620874764948174,-0.019262437521783998,-0.012967322277575348,-0.005185418515154018,-0.008568670377155784,0.7434505718633383,0.6002545440336347,0.2680404175470175,0.020727260552307513,0.5361248759184425,-0.03638273439763936,-0.040049569704219364,-0.0031851543338018355
san_returns_4d,0.48987510564423764,0.701115708435406,0.8666211874511311,1.0,0.8941240594336723,0.6149812747705238,0.42696313277147596,0.2696977393300531,0.44440722640952696,0.6410925260304408,0.7981314630109793,0.9278510554524073,0.828185716259278,0.575019840170499,0.4035353164981799,0.24944172388680072,0.022849526464872216,-0.00045118399845000575,-0.0073682342150064315,-0.010253154391810869,-0.01275489109608967,-0.018745389151699023,-0.02113476760462084,-0.01789820998688167,-0.023546061157530416,-0.003381164294158613,0.019887878825809856,0.015928210450037304,0.020193422393810213,0.046005058466350765,-0.052449867107379144,-0.023590121353444137,0.0027429131770338355,-0.0010643563277178743,0.010959521494554592,0.04028669412473836,0.340782724145953,0.4983772654030883,0.6075515958670841,0.7054114555492405,0.6303162765353666,0.43010346984009706,0.3016632706037222,0.18013669870198187,-0.326280392124252,-0.44650180771929293,-0.5256113738011651,-0.5635157180619563,-0.5039163130042822,-0.32064843844738306,-0.24138447550816597,-0.15639941176862232,-0.3156164727185201,-0.4404642115414796,-0.5249949424209596,-0.5673458592076857,-0.5072133637039387,-0.32926094647063747,-0.26164581334244436,-0.1575626807416651,-0.010377383794332685,-0.004070985979942587,-0.02199704180459704,-0.030355344019158757,-0.020853259881439882,-0.019834842580762856,-0.030550804530668354,-0.08801844826837268,-0.07846952771642739,-0.022682839878472246,-0.005119600070926989,-0.022560955949353586,-0.01626015316045593,-0.00609600882360053,-0.00988823248107131,0.7528170707696934,0.6549473755741027,0.3119645251171216,0.03153263054444142,0.6051861960048948,-0.04824370294731938,-0.0461722087418108,-0.005603259555609873
san_returns_5d,0.4419136563326071,0.6228720656501306,0.7683405738188945,0.8941240594336723,1.0,0.6885731245685206,0.4732364096940485,0.3025619555429096,0.3992012579370746,0.5694034365559099,0.7048210861482944,0.8239121824765487,0.9277630826588289,0.6409459801027403,0.4445023164880162,0.2788137873226982,0.03696887700080249,0.004939881392065877,-0.004626681022581728,-0.008824625529464671,-0.011986718792020339,-0.019823475144511972,-0.023087801489771888,-0.019893940117268586,-0.035392401082063575,-0.009383717598884355,0.01764154057509165,0.013748175863242236,0.019525530401019765,0.049656199442367516,-0.06658772131781567,-0.031399751716039086,-0.0007597528546917985,-0.004711890417641046,0.00908225841429514,0.043216240784169975,0.3033969526384478,0.4452408444085709,0.5415339041355015,0.6252502520037544,0.705110591856783,0.48215502008786043,0.3362837636928366,0.2047888572338565,-0.2868968139780063,-0.39063102176142483,-0.4705504671975046,-0.5343362847169977,-0.563747162356708,-0.36569561034203996,-0.2689323847498108,-0.17712249990551973,-0.26985211780107965,-0.3747699467818486,-0.4592676626257148,-0.5298528856700894,-0.5639103467988255,-0.36868220348908565,-0.2883258478234761,-0.1763945296176073,-0.010145444353865135,-0.011719922831454637,-0.011287465654446797,-0.02858803469505296,-0.026733063385290416,-0.017945267848185,-0.0405479891037854,-0.09590762858107095,-0.0933294790654597,-0.029664127368907528,-0.007569692019243702,-0.025430477677617767,-0.01903096451280269,-0.006531574825939207,-0.010926744135840669,0.7115076230373157,0.691722815863235,0.348786121482765,0.043713739686644694,0.6543747611125481,-0.060369536557799655,-0.0511027910877435,-0.003558571943425569
san_returns_10d,0.30646694359485493,0.4332104402940858,0.5328075454623389,0.6149812747705238,0.6885731245685206,1.0,0.6748560445458294,0.44292974361000087,0.27564242305851505,0.3954140648530757,0.4878418088499438,0.5648522583708104,0.6331754657026314,0.9277115422643507,0.6245342894079544,0.40350431263308467,0.08155662116999542,0.04382218867270039,0.016320807391884854,0.00356891359222022,-0.004302814521914395,-0.023369238960934645,-0.03245364250499308,-0.030943323549076897,-0.10323343376605673,-0.04663891521611033,-0.0030304571844628086,-0.0010700926408113542,0.011060681868616532,0.06148729362371139,-0.14165042867491867,-0.07683907400304808,-0.02560738908762947,-0.024873364275664882,-0.0033287631076847407,0.05213812132155186,0.22084364887298719,0.3128610934400261,0.37660994589496,0.4479521042816111,0.49247358575906597,0.7063666594497605,0.4905199623257078,0.3159573066515661,-0.20347233895944863,-0.27638850519849206,-0.32737362666676034,-0.3697996172048143,-0.4098131102013462,-0.5614452585222527,-0.37178714198905477,-0.2664626851694369,-0.18004730046214298,-0.24978276735864205,-0.29876644449454587,-0.34037536325149215,-0.3782750852576807,-0.5587220719222691,-0.38276952880802917,-0.25544620926460276,0.0020526655430825437,0.0034622122969814617,0.0037620690618819356,-0.0010634357650688197,-0.00468358547828271,-0.019070348507922226,-0.04102531083751121,-0.11683915533392235,-0.15198917661348793,-0.062228665546408865,-0.01714760975260161,-0.037106106858883596,-0.03008394737076849,-0.004511443839419327,-0.013259381773234562,0.5137732443140834,0.755456014792869,0.4788187815928405,0.1159866939578758,0.7592990281948245,-0.11966270718331515,-0.06635213350921007,-0.005234037203817244
san_returns_21d,0.2153437978081514,0.3040956946224285,0.3706571357689488,0.42696313277147596,0.4732364096940485,0.6748560445458294,1.0,0.6486411005958412,0.19904836651869331,0.2832754876702366,0.34692231425995507,0.40034679245612476,0.4432935998431605,0.6263196104737739,0.9259806310220985,0.5986942000570812,0.14862821918680788,0.123294183068168,0.09807766734323263,0.07280628674005599,0.049360729284164684,-0.001437929834722126,-0.02854167673729136,-0.036503795799361395,-0.3116633864431899,-0.1757768424614034,-0.09787090729959944,-0.06930286352108192,-0.046285217085493824,0.051121394824837595,-0.3530046206334167,-0.21766643040052158,-0.1274767539735832,-0.10320546784965184,-0.07103383707280651,0.037332984575506045,0.15559030374981098,0.22087149227579533,0.2542598662446336,0.2967574543082125,0.328722744366631,0.47766090764015884,0.716514940958002,0.45896133296274766,-0.14533245562744046,-0.20178673968254063,-0.2406155133966234,-0.27556392607665003,-0.304269081392606,-0.4133432797811605,-0.5688505074347355,-0.39668342189195294,-0.13221712960866402,-0.18360608965970102,-0.22073465263069258,-0.25344107215982814,-0.27969838151536774,-0.382242172140908,-0.5741809402775946,-0.37736142861531136,-0.002452103885095274,0.0008438432024692656,0.004417002442577514,0.007098736093490347,0.017359963417504256,0.0396815607728158,0.008332633136446423,-0.11266412263666256,-0.19891007301822708,-0.1360097896375672,-0.049051633185646946,-0.05583961133828056,-0.05838892368098787,-0.0009723079150208254,-0.017939540073546277,0.35669375266353687,0.5779295401872929,0.40526240474905795,0.2916724123181296,0.627236681024037,-0.20500582799095823,-0.09429379944326174,0.00026770008322984457
san_returns_50d,0.13594421241875654,0.19167564479613278,0.2334657300430612,0.2696977393300531,0.3025619555429096,0.44292974361000087,0.6486411005958412,1.0,0.12381208076778641,0.17651528850567583,0.2153875319139204,0.24928040826448722,0.28030711666734887,0.4111266839964686,0.6053221227602521,0.9270145698758204,0.26172934213859367,0.2455375530262913,0.228975685457432,0.21267891739635963,0.19585617624592155,0.10980604082564252,0.016772259250867644,-0.03208680745716482,-0.47297047706749573,-0.44146525052826346,-0.31914063108739815,-0.2365649151869198,-0.1834931555113399,-0.002416124513979113,-0.5070635417804571,-0.48595145102411597,-0.3647660464645632,-0.2836873518059151,-0.2271872059157214,-0.02439856914716429,0.09516925889501207,0.15194019919474056,0.16881154486116592,0.20264201410661417,0.21166659375533659,0.3221282766326759,0.4672268175804266,0.7265017830840559,-0.07342803047635925,-0.10270764659736092,-0.12476254664667424,-0.14428532688920498,-0.16051947375863582,-0.2304757298294508,-0.3446148649450897,-0.5742501331862011,-0.07391350545032267,-0.10223328356094008,-0.12265779481725672,-0.14025856868057288,-0.15458337255671664,-0.22496514323632508,-0.3609882664325603,-0.5849059082285809,-0.0013962622311924518,-0.001002729280557162,-0.0008238044976953266,-0.0019225363929749292,0.0034290789340504116,0.012217834345990435,0.028626573728440012,-0.05499250867990393,-0.1867850850964781,-0.23514721488171325,-0.1692170179051877,-0.11710101038952798,-0.10313740713497,-0.020624288681527145,-0.019366512485453777,0.24355502465329573,0.38709475730809745,0.27850726901041917,0.6408595347207245,0.40244482192888614,-0.2591577604970587,-0.1382475591747175,-0.007020017870275386
san_momentum_1d,0.9281824223613668,0.6526816342063539,0.5201140043647463,0.44440722640952696,0.3992012579370746,0.27564242305851505,0.19904836651869331,0.12381208076778641,1.0,0.7027913960993307,0.5646506167439411,0.48443693154433065,0.4365260720615286,0.3051766045846399,0.22410605664555927,0.136637519958609,-0.009799882022569598,-0.013855176803497618,-0.01505672323643341,-0.015406239062280343,-0.016327578217312115,-0.01827155204534334,-0.0192645622283031,-0.017522329357387526,-0.0012768379573430573,0.004023293152381246,0.011489680302040685,0.008616344513970205,0.010704977772668945,0.022326448566717626,-0.013205255473457609,-0.0033675618336907382,0.00316038326781515,0.0009333207133085744,0.004847784973268716,0.018728987485952628,0.6853639086634872,0.4945743793915854,0.4002038809037289,0.3394415012589617,0.30240982262260346,0.20763110568132667,0.14125893154331243,0.08570557758436297,-0.4661631531450996,-0.3249777407725039,-0.249957287322599,-0.2080680571175377,-0.17164578063487448,-0.10935413367666957,-0.09320042092291449,-0.05119970933983021,-0.46383247486786355,-0.3366015946772669,-0.25596332660821997,-0.207430045737966,-0.16669969569143853,-0.11487366866280929,-0.09979371986072742,-0.04823423288470538,-0.005151251392810496,0.004370401997606148,-0.004324209684267954,-0.01019583968071316,0.012487894866328366,-0.009210509413072655,-0.008301705841258724,-0.029019105549983194,-0.030090131624127887,-0.009177788259429548,-0.005652359910695293,-0.015394477979796256,-0.00882124296514946,-0.007074145857502691,-0.0049069753355182105,0.5797487606235321,0.4033162151015077,0.158000021348131,0.0067656364782357585,0.2800385957703288,-0.020845123242288925,-0.018138068546248623,0.002611461150655855
san_momentum_2d,0.664824066314822,0.9299564662683463,0.7527483051737605,0.6410925260304408,0.5694034365559099,0.3954140648530757,0.2832754876702366,0.17651528850567583,0.7027913960993307,1.0,0.8096132289884544,0.6918284816858258,0.6165253239397164,0.43417926946340457,0.31471063581680486,0.19287320405069167,-0.006954635584289501,-0.016403601457446015,-0.01923968854883314,-0.020332082909358635,-0.021914878203812816,-0.025444691484599626,-0.027010904167061988,-0.024680714628837357,-0.005623409005596061,0.0033148462453235945,0.015580734528463182,0.011663224748741726,0.014422926911780784,0.031239068107152202,-0.023534774579393906,-0.008872134491418465,0.0028989109671026005,-0.0006038191710641407,0.0057777595727865816,0.02575166546509643,0.4887062193200691,0.7007953967844984,0.572466773574824,0.49303535102581986,0.4463469666366114,0.3013225402455398,0.21092691691771015,0.12171343884368654,-0.4421820275209073,-0.5189216396817016,-0.41510630898674755,-0.34788727967341554,-0.29700592216644434,-0.18448514481518108,-0.1524820022985932,-0.08667009532434568,-0.4352678058501257,-0.5215552105265837,-0.4244961819556744,-0.3520411849900685,-0.2950237975086636,-0.19472772424048623,-0.1658113137852059,-0.08612636162990872,-0.04126466005223106,-0.03237257505049869,-0.03087360344300817,-0.04005855908516889,-0.02846748885283961,-0.034105670487347126,-0.031460810226205255,-0.07520031154428428,-0.048175597097455086,-0.01672074486141458,-0.009386235611182571,-0.02288367811151499,-0.01448011907771335,-0.011045114347151346,-0.00718797236490805,0.6967939123239852,0.522258985894531,0.22143124848907308,0.01480043579808041,0.44404643623684786,-0.03614157802274498,-0.02658316993858664,-0.005233178236374907
