,bbva_importance
bbva_volumes_momentum_1d,0.017926604935080793
bbva_returns_1d,0.01694465132726728
bbva_cds_momentum_1d,0.016058364887082413
bbva_cds_returns_1d,0.016055150871261286
bbva_momentum_1d,0.015475242917179872
bbva_rsi_14d,0.01500852844196615
bbva_cci_20d,0.013836359638075663
bbva_stochastic_oscillator_5d,0.013579295304047504
bbva_median_volumes_20d,0.013458409938942489
bbva_dvd_proxy_1d,0.013012963973967425
bbva_driftless_volatility_200d,0.012645553448031728
bbva_ad_1d,0.012571077963705922
bbva_volatility_20d,0.012528604565831528
bbva_macd_12_26d,0.012502115604587138
bbva_atr_14d,0.012069198619878051
