,san_accuracy,san_std,bbva_accuracy,bbva_std,top,max,rf
dt,0.5049142857142856,0.014023187794448444,0.5021714285714285,0.01003113520342477,0,0,0
full,0.48342857142857143,0.0103993720375564,0.4861714285714286,0.0072497149838416895,0,0,0
top_5_max_1_rf_64,0.4902857142857142,0.006301279429526967,0.5065142857142857,0.01726281836662785,5,1,64
top_10_max_1_rf_64,0.5056,0.012942068724015609,0.4955428571428572,0.018563602746740075,10,1,64
top_15_max_1_rf_64,0.5046857142857142,0.010031135203424761,0.5021714285714285,0.020426153703084697,15,1,64
top_5_max_2_rf_64,0.5129142857142857,0.009323921396283926,0.5133714285714286,0.011506023267340102,5,2,64
top_10_max_2_rf_64,0.4994285714285714,0.025626516878946667,0.4964571428571428,0.019868629771063507,10,2,64
top_15_max_2_rf_64,0.5081142857142857,0.018322819496074148,0.4886857142857143,0.01945678623545637,15,2,64
top_5_max_3_rf_64,0.5108571428571429,0.010890175313894029,0.4893714285714285,0.007206346409341467,5,3,64
top_10_max_3_rf_64,0.5017142857142857,0.017822709659079235,0.48914285714285716,0.0107938001857075,10,3,64
top_15_max_3_rf_64,0.5094857142857142,0.011089837230361764,0.5085714285714286,0.008081220356417685,15,3,64
top_5_max_5_rf_64,0.5035428571428571,0.017860776773107472,0.49874285714285715,0.015377269203706643,5,5,64
top_10_max_5_rf_64,0.5113142857142858,0.009074026624584805,0.5003428571428572,0.013892179564820785,10,5,64
top_15_max_5_rf_64,0.5003428571428571,0.004976352241617649,0.5088,0.011686238199921567,15,5,64
top_5_max_1_rf_128,0.5021714285714285,0.012300456271610275,0.5003428571428571,0.010706320849033482,5,1,128
top_10_max_1_rf_128,0.5056,0.018351310913525976,0.49234285714285714,0.02554892864881109,10,1,128
top_15_max_1_rf_128,0.5069714285714285,0.021691416528673454,0.4909714285714286,0.012364003050330067,15,1,128
top_5_max_2_rf_128,0.5067428571428572,0.013201855157205622,0.5060571428571429,0.009267718826383237,5,2,128
top_10_max_2_rf_128,0.4950857142857143,0.022082886531226406,0.49622857142857146,0.009545423093861067,10,2,128
top_15_max_2_rf_128,0.4976,0.02212070781611011,0.5056,0.012342857142857147,15,2,128
top_5_max_3_rf_128,0.4969142857142857,0.01181959631894664,0.4797714285714285,0.017217361906529376,5,3,128
top_10_max_3_rf_128,0.5115428571428572,0.015862264295220543,0.4992,0.009490532339212212,10,3,128
top_15_max_3_rf_128,0.5056,0.01546197442312025,0.49897142857142845,0.011955837102282981,15,3,128
top_5_max_5_rf_128,0.5028571428571429,0.008552359741197564,0.49417142857142854,0.016492026521186236,5,5,128
top_10_max_5_rf_128,0.5030857142857142,0.01368377558591613,0.5014857142857142,0.015254467395166676,10,5,128
top_15_max_5_rf_128,0.5067428571428572,0.02171548868848207,0.49211428571428567,0.009873650773236665,15,5,128
top_5_max_1_rf_256,0.49668571428571423,0.014788412452225655,0.4985142857142857,0.017141333265602448,5,1,256
top_10_max_1_rf_256,0.49005714285714286,0.01358798989504169,0.49577142857142853,0.011506023267340088,10,1,256
top_15_max_1_rf_256,0.5104,0.017371428571428586,0.5076571428571428,0.00809413998154324,15,1,256
top_5_max_2_rf_256,0.4966857142857143,0.0076015036106586885,0.4960000000000001,0.017586636856385233,5,2,256
top_10_max_2_rf_256,0.5094857142857142,0.024759677555514756,0.48754285714285717,0.01956389844711373,10,2,256
top_15_max_2_rf_256,0.49828571428571433,0.018667444104315808,0.509942857142857,0.014226620635058692,15,2,256
top_5_max_3_rf_256,0.5181714285714285,0.014539011560035873,0.4969142857142857,0.020928956602988984,5,3,256
top_10_max_3_rf_256,0.5003428571428572,0.015609939272195547,0.49371428571428577,0.014071537345482405,10,3,256
top_15_max_3_rf_256,0.4966857142857143,0.008068280043301856,0.4994285714285714,0.004088810015999602,15,3,256
top_5_max_5_rf_256,0.4941714285714286,0.003657142857142867,0.4909714285714285,0.004717661129268646,5,5,256
top_10_max_5_rf_256,0.5067428571428572,0.015829293433765282,0.4973714285714285,0.014354576885126931,10,5,256
top_15_max_5_rf_256,0.501257142857143,0.017728657764265434,0.49485714285714283,0.013865829383408535,15,5,256
