Dates,san,bbva
05/04/1999,2.981,2.9851
06/04/1999,7.3713,5.7463
07/04/1999,6.9377,6.2687
08/04/1999,8.4011,7.0149
09/04/1999,9.5935,6.8657
12/04/1999,10.7974,7.3101
13/04/1999,14.3873,8.8871
14/04/1999,14.9856,8.812
15/04/1999,16.3998,8.3614
16/04/1999,16.9438,9.4878
19/04/1999,17.5965,11.5154
20/04/1999,11.6133,9.638
21/04/1999,12.2116,9.3376
22/04/1999,11.3957,8.5116
23/04/1999,11.6677,7.3852
26/04/1999,11.6677,6.5591
27/04/1999,12.4292,7.3852
28/04/1999,11.3957,6.2588
29/04/1999,11.5045,5.2825
30/04/1999,11.8309,6.3339
03/05/1999,12.538,8.3614
04/05/1999,10.9606,6.7844
05/05/1999,11.4501,5.658
06/05/1999,11.2325,5.5078
07/05/1999,12.3204,6.4089
10/05/1999,12.1028,6.7844
11/05/1999,10.9606,6.4089
12/05/1999,11.9396,6.4089
13/05/1999,12.2116,7.9859
14/05/1999,11.3413,5.5078
17/05/1999,10.4167,4.081
18/05/1999,9.3832,3.7055
19/05/1999,10.2535,6.6342
20/05/1999,9.6552,5.5829
21/05/1999,8.7849,7.0097
24/05/1999,8.5129,6.1837
25/05/1999,8.5129,4.9822
26/05/1999,9.22,4.6818
27/05/1999,8.5673,3.0297
28/05/1999,8.7849,3.8557
31/05/1999,8.7305,4.5316
01/06/1999,9.492,4.9822
02/06/1999,8.8937,3.5554
03/06/1999,11.015,5.5829
04/06/1999,11.994,5.1323
07/06/1999,11.7765,5.2825
08/06/1999,12.8643,3.255
09/06/1999,11.4501,4.4565
10/06/1999,9.3288,2.2037
11/06/1999,10.0903,6.6342
14/06/1999,8.7849,5.0572
15/06/1999,11.2869,5.5078
16/06/1999,11.1782,5.0572
17/06/1999,12.0484,5.4327
18/06/1999,13.6802,6.8595
21/06/1999,13.1363,7.0848
22/06/1999,12.8099,7.6856
23/06/1999,12.1572,6.9346
24/06/1999,11.7221,5.5078
25/06/1999,10.3079,5.8082
28/06/1999,12.0484,6.6342
29/06/1999,13.1363,6.4089
30/06/1999,9.8727,5.2074
01/07/1999,13.1363,6.7844
02/07/1999,13.1363,6.8595
05/07/1999,14.2241,7.3101
06/07/1999,13.1363,6.1086
07/07/1999,11.5045,5.658
08/07/1999,9.6552,4.5316
09/07/1999,11.3957,5.658
12/07/1999,11.0694,4.6487
13/07/1999,8.5673,2.6131
14/07/1999,6.0653,1.4067
15/07/1999,6.8268,1.7088
16/07/1999,6.0653,0.5006
19/07/1999,8.6761,0.2741
20/07/1999,8.241,-1.3871
21/07/1999,7.3707,-1.7646
22/07/1999,5.5213,-2.6707
23/07/1999,3.7808,-3.5013
26/07/1999,2.2578,-5.4645
27/07/1999,-0.1355,-7.2766
28/07/1999,1.2787,-9.7684
29/07/1999,-0.4618,-11.8826
30/07/1999,0.8436,-11.3541
02/08/1999,-0.2987,-9.7684
03/08/1999,-0.2987,-10.75
04/08/1999,2.4374,-11.203
05/08/1999,-1.5025,-12.7887
06/08/1999,-0.8459,-13.8458
09/08/1999,1.8902,-13.8458
10/08/1999,-0.627,-16.4886
11/08/1999,2.2185,-14.9029
12/08/1999,1.9996,-13.2417
13/08/1999,1.7807,-9.8439
16/08/1999,1.0146,-8.2582
17/08/1999,3.4224,-6.295
18/08/1999,5.064,-7.2766
19/08/1999,5.1734,-6.5216
20/08/1999,6.8151,-5.389
23/08/1999,4.6262,-3.8788
24/08/1999,7.0339,-3.1992
25/08/1999,8.4567,-3.1237
26/08/1999,7.6906,-2.1421
27/08/1999,8.2378,-1.4626
30/08/1999,8.4567,-1.9911
31/08/1999,4.079,-4.7094
01/09/1999,6.3773,-4.1808
02/09/1999,2.9846,-6.6726
03/09/1999,6.7056,-4.4829
06/09/1999,4.8451,-4.4829
07/09/1999,3.9696,-5.9175
08/09/1999,3.5318,-5.9175
09/09/1999,6.4867,-5.4645
10/09/1999,6.7056,-4.3318
13/09/1999,5.5018,-5.1624
14/09/1999,6.1584,-4.8604
15/09/1999,8.0189,-4.1808
16/09/1999,6.7056,-4.4829
17/09/1999,8.8944,-5.54
20/09/1999,7.5811,-5.6155
21/09/1999,6.4867,-6.8991
22/09/1999,6.8151,-6.6726
23/09/1999,8.1284,-5.691
24/09/1999,8.1284,-5.691
27/09/1999,9.0039,-4.4829
28/09/1999,8.1284,-6.2195
29/09/1999,6.9245,-6.144
30/09/1999,6.2678,-6.5216
01/10/1999,5.9395,-6.144
04/10/1999,7.0339,-5.993
05/10/1999,6.3773,-4.1808
06/10/1999,5.6112,-4.2563
07/10/1999,6.5962,-2.2931
08/10/1999,6.049,-0.7075
11/10/1999,6.2678,0.2409
12/10/1999,6.2678,0.2409
13/10/1999,4.5168,-2.2613
14/10/1999,3.9696,-2.6405
15/10/1999,2.3279,-3.2471
18/10/1999,0.7958,-2.8679
19/10/1999,3.2035,-2.8679
20/10/1999,4.9545,-1.3514
21/10/1999,2.7657,-5.3702
22/10/1999,4.1885,-4.7636
25/10/1999,1.9996,-5.2185
26/10/1999,3.4224,-5.3702
27/10/1999,3.094,-6.0526
28/10/1999,4.8451,-4.4603
29/10/1999,8.2378,-3.0954
01/11/1999,8.2378,-3.0954
02/11/1999,9.2775,-3.3229
03/11/1999,13.3493,-1.7306
04/11/1999,16.7607,-0.669
05/11/1999,17.7512,0.62
08/11/1999,18.3014,1.4541
09/11/1999,17.8612,0.5442
10/11/1999,19.9521,1.2266
11/11/1999,19.5119,0.5442
12/11/1999,18.5215,0.4684
15/11/1999,20.3923,0.9233
16/11/1999,22.1531,1.7574
17/11/1999,21.7129,1.6057
18/11/1999,19.9521,0.7717
19/11/1999,19.5119,0.3925
22/11/1999,16.1005,0.4684
23/11/1999,18.8517,1.2266
24/11/1999,20.1722,2.364
25/11/1999,21.1627,4.7146
26/11/1999,21.6028,5.397
29/11/1999,18.7416,4.2596
30/11/1999,20.0622,5.0179
01/12/1999,20.7225,4.3355
02/12/1999,18.8517,3.1223
03/12/1999,18.3014,4.9421
06/12/1999,18.3014,4.9421
07/12/1999,20.5024,6.1553
08/12/1999,20.5024,6.1553
09/12/1999,22.5933,7.6718
10/12/1999,24.354,7.0318
13/12/1999,23.4737,7.5647
14/12/1999,22.9234,7.6408
15/12/1999,21.933,6.7273
16/12/1999,23.9139,6.4228
17/12/1999,31.067,7.2602
20/12/1999,28.5359,7.0163
21/12/1999,24.1339,6.7876
22/12/1999,23.3636,6.7876
23/12/1999,24.9043,7.1687
24/12/1999,24.9043,7.1687
27/12/1999,25.2344,6.7114
28/12/1999,22.7033,6.1016
29/12/1999,23.9139,6.7876
30/12/1999,23.6938,7.7785
31/12/1999,23.6938,7.7785
03/01/2000,25.2344,8.0834
04/01/2000,22.2631,5.2631
05/01/2000,19.2918,2.9003
06/01/2000,19.2918,2.9003
07/01/2000,24.5741,4.196
10/01/2000,23.4737,3.337
11/01/2000,19.2918,1.2626
12/01/2000,18.1914,0.1101
13/01/2000,17.2009,-2.3485
14/01/2000,20.2823,-0.4277
17/01/2000,17.0909,-1.3497
18/01/2000,11.1483,-3.4241
19/01/2000,11.1483,-3.5777
20/01/2000,13.4593,-3.7314
21/01/2000,9.9378,-5.729
24/01/2000,11.1483,-5.268
25/01/2000,11.1483,-3.1936
26/01/2000,14.0095,-0.1972
27/01/2000,14.3397,3.7212
28/01/2000,10.8182,3.337
31/01/2000,11.4234,1.8004
01/02/2000,12.198,3.1833
02/02/2000,12.7512,2.876
03/02/2000,14.3003,3.7212
04/02/2000,15.2961,2.1845
07/02/2000,18.8369,0.2638
08/02/2000,20.8286,4.1053
09/02/2000,18.6156,1.5699
10/02/2000,16.1813,0.0333
11/02/2000,9.8743,7.7163
14/02/2000,15.1855,20.2397
15/02/2000,17.0665,17.1665
16/02/2000,22.9309,17.6275
17/02/2000,22.8203,17.6275
18/02/2000,19.7221,17.7811
21/02/2000,21.8244,17.0897
22/02/2000,20.1647,15.4762
23/02/2000,22.8203,18.6263
24/02/2000,19.5008,20.3934
25/02/2000,20.2753,20.6239
28/02/2000,19.6114,17.9348
29/02/2000,20.6073,16.014
01/03/2000,20.386,17.1665
02/03/2000,22.267,16.7055
03/03/2000,21.0499,17.1665
06/03/2000,20.6073,17.4738
07/03/2000,20.1647,17.397
08/03/2000,21.1605,18.3189
09/03/2000,22.0457,17.7811
10/03/2000,23.8161,15.4762
13/03/2000,23.2629,13.325
14/03/2000,24.9226,13.5555
15/03/2000,25.9184,11.6347
16/03/2000,28.0208,17.3202
17/03/2000,31.2296,18.0116
20/03/2000,31.1189,17.0897
21/03/2000,29.4592,18.3958
22/03/2000,28.1314,18.9336
23/03/2000,25.9184,18.0885
24/03/2000,27.5782,17.858
27/03/2000,26.361,18.2421
28/03/2000,28.574,18.3958
29/03/2000,27.3569,16.3982
30/03/2000,25.6971,15.1689
31/03/2000,24.2587,18.0116
03/04/2000,24.48,18.3189
04/04/2000,25.8078,21.2385
05/04/2000,23.7055,20.2397
06/04/2000,20.1647,21.008
07/04/2000,22.599,22.0068
10/04/2000,24.8119,22.1605
11/04/2000,22.9309,21.3922
12/04/2000,24.0374,19.8556
13/04/2000,27.0249,21.2385
14/04/2000,25.0332,18.6263
17/04/2000,23.1522,15.2457
18/04/2000,22.1564,15.3226
19/04/2000,20.7179,16.014
20/04/2000,24.2587,17.5506
21/04/2000,24.2587,17.5506
24/04/2000,24.2587,17.5506
25/04/2000,25.8078,15.5531
26/04/2000,26.693,15.3212
27/04/2000,23.5948,14.5482
28/04/2000,26.9143,15.9395
01/05/2000,26.9143,15.9395
02/05/2000,30.0401,16.867
03/05/2000,24.5893,15.6303
04/05/2000,26.4804,13.3116
05/05/2000,24.0331,12.5386
08/05/2000,24.8118,10.4517
09/05/2000,21.4746,9.6015
10/05/2000,17.2474,9.9107
11/05/2000,20.0285,11.0701
12/05/2000,19.2498,10.4517
15/05/2000,18.1374,9.9107
16/05/2000,19.4723,10.6836
17/05/2000,15.1339,11.6884
18/05/2000,16.3575,12.0749
19/05/2000,14.1327,9.9107
22/05/2000,12.3529,6.9735
23/05/2000,12.9091,9.6015
24/05/2000,12.7978,9.4469
25/05/2000,16.6912,14.0845
26/05/2000,14.4664,16.4806
29/05/2000,14.1327,14.3164
30/05/2000,15.9126,14.8574
31/05/2000,16.9137,15.9395
01/06/2000,21.2521,18.4129
02/06/2000,21.0296,22.2775
05/06/2000,21.1409,20.9636
06/06/2000,17.5812,21.35
07/06/2000,19.5835,20.036
08/06/2000,20.6959,20.2679
09/06/2000,18.1374,20.5771
12/06/2000,16.8025,19.6496
13/06/2000,16.4688,21.4273
14/06/2000,17.9149,22.664
15/06/2000,19.9172,23.2824
16/06/2000,21.2521,22.5094
19/06/2000,19.4723,20.6544
20/06/2000,18.4711,19.8042
21/06/2000,16.8025,18.7994
22/06/2000,20.1397,17.1762
23/06/2000,19.0273,17.9491
26/06/2000,20.9184,19.8042
27/06/2000,21.2521,18.7994
28/06/2000,21.1409,18.7221
29/06/2000,19.806,17.9491
30/06/2000,22.9207,20.9636
03/07/2000,22.2533,21.6592
04/07/2000,25.1455,21.5046
05/07/2000,22.587,20.7317
06/07/2000,24.0331,21.35
07/07/2000,25.9242,21.5819
10/07/2000,25.9242,21.8447
11/07/2000,25.2568,20.2925
12/07/2000,24.0331,18.818
13/07/2000,25.0343,18.3523
14/07/2000,25.1455,19.3612
17/07/2000,23.6994,18.5852
18/07/2000,24.0331,19.1284
19/07/2000,24.3668,20.7582
20/07/2000,24.8118,22.1551
21/07/2000,23.8106,20.603
24/07/2000,25.368,21.8447
25/07/2000,24.0331,21.2238
26/07/2000,25.0343,20.2149
27/07/2000,24.7006,19.9045
28/07/2000,23.9219,19.5941
31/07/2000,24.6573,21.0686
01/08/2000,24.3216,21.0686
02/08/2000,25.6644,21.8447
03/08/2000,25.6644,21.4567
04/08/2000,26.112,21.8447
07/08/2000,28.5738,24.1729
08/08/2000,29.469,26.734
09/08/2000,30.4761,28.519
10/08/2000,29.9166,28.4414
11/08/2000,32.3784,29.2175
14/08/2000,33.0498,30.0712
15/08/2000,34.9522,31.5457
16/08/2000,37.7497,31.8561
17/08/2000,37.5259,30.9248
18/08/2000,40.6591,33.4859
21/08/2000,38.4211,33.5635
22/08/2000,38.4211,32.089
23/08/2000,37.7497,31.5457
24/08/2000,33.7212,29.6055
25/08/2000,34.9522,31.1577
28/08/2000,34.2808,31.7009
29/08/2000,32.0427,31.9338
30/08/2000,35.2879,30.5368
31/08/2000,35.3998,29.6831
01/09/2000,33.1617,30.7696
04/09/2000,31.9308,29.3727
05/09/2000,33.4974,31.1577
06/09/2000,33.0498,32.089
07/09/2000,35.2879,31.1577
08/09/2000,33.4974,31.1577
11/09/2000,36.5188,33.4859
12/09/2000,36.5188,33.3307
13/09/2000,35.6236,33.0979
14/09/2000,39.8758,34.7276
15/09/2000,40.4353,35.4261
18/09/2000,36.8545,31.2353
19/09/2000,36.7426,30.6144
20/09/2000,35.7355,28.4414
21/09/2000,34.5046,26.6564
22/09/2000,39.2044,30.3816
25/09/2000,38.7568,31.6233
26/09/2000,38.3092,29.4503
27/09/2000,37.6378,29.5279
28/09/2000,39.7639,34.1068
29/09/2000,39.2044,32.8651
02/10/2000,38.8687,35.4261
03/10/2000,39.652,35.5037
04/10/2000,36.5188,34.262
05/10/2000,39.8758,33.1755
06/10/2000,38.1973,32.089
09/10/2000,34.0569,27.8981
10/10/2000,36.7426,30.4902
11/10/2000,29.8047,24.2579
12/10/2000,29.8047,24.2579
13/10/2000,27.231,21.9986
16/10/2000,27.4548,26.7508
17/10/2000,30.1404,26.9845
18/10/2000,25.3287,22.6998
19/10/2000,30.1404,26.4392
20/10/2000,30.9237,28.9322
23/10/2000,27.3429,28.9322
24/10/2000,33.8331,33.6064
25/10/2000,31.0356,28.0752
26/10/2000,23.7621,20.7522
27/10/2000,25.7763,17.2465
30/10/2000,26.0001,19.1941
31/10/2000,28.5303,22.3103
01/11/2000,28.5303,22.3103
02/11/2000,34.6079,26.2055
03/11/2000,33.9326,26.595
06/11/2000,33.8201,28.3089
07/11/2000,33.3699,27.452
08/11/2000,30.5562,24.0242
09/11/2000,28.3052,21.9207
10/11/2000,26.0542,19.5836
13/11/2000,27.2923,19.9731
14/11/2000,32.4695,23.7125
15/11/2000,32.8071,24.6474
16/11/2000,30.5562,23.7125
17/11/2000,26.2793,19.6615
20/11/2000,17.6131,15.2988
21/11/2000,17.6131,18.7266
22/11/2000,14.2367,12.9617
23/11/2000,15.9249,17.9476
24/11/2000,19.639,22.1544
27/11/2000,18.0633,21.3754
28/11/2000,16.0374,21.1417
29/11/2000,19.639,22.3882
30/11/2000,14.6868,19.6615
01/12/2000,15.6998,18.8046
04/12/2000,10.9727,14.9093
05/12/2000,16.4876,20.3626
06/12/2000,16.4876,20.3626
07/12/2000,21.3272,21.9207
08/12/2000,21.3272,21.9207
11/12/2000,27.1797,25.2706
12/12/2000,25.4915,25.3485
13/12/2000,24.9288,24.6474
14/12/2000,23.3531,23.8684
15/12/2000,19.5264,20.1289
18/12/2000,18.1758,17.4802
19/12/2000,23.3531,19.9731
20/12/2000,16.4876,14.5198
21/12/2000,19.4139,16.3895
22/12/2000,20.877,18.415
25/12/2000,20.877,18.415
26/12/2000,20.877,18.415
27/12/2000,24.2535,19.9731
28/12/2000,25.7166,21.5312
29/12/2000,28.3052,23.4788
01/01/2001,28.3052,23.4788
02/01/2001,25.7166,20.5964
03/01/2001,25.7166,18.7266
04/01/2001,33.0322,27.6078
05/01/2001,33.3699,28.9322
08/01/2001,35.8459,30.6461
09/01/2001,33.0322,30.4123
10/01/2001,34.3828,28.5738
11/01/2001,35.0581,29.6687
12/01/2001,35.9585,32.1714
15/01/2001,36.4087,31.1547
16/01/2001,35.6209,29.1212
17/01/2001,38.4346,32.1714
18/01/2001,39.3349,34.5176
19/01/2001,31.7942,34.1266
22/01/2001,32.8071,32.3278
23/01/2001,36.2961,33.3445
24/01/2001,37.084,32.4842
25/01/2001,36.6338,33.5009
26/01/2001,35.0581,32.0149
29/01/2001,30.106,29.1212
30/01/2001,31.5691,31.3893
31/01/2001,33.5512,34.5176
01/02/2001,35.4753,34.5176
02/02/2001,31.1745,30.6854
05/02/2001,32.1931,31.7021
06/02/2001,31.1745,31.0764
07/02/2001,33.6644,31.3893
08/02/2001,34.683,32.0931
09/02/2001,33.3249,30.4508
12/02/2001,35.8148,32.5624
13/02/2001,35.8148,33.4227
14/02/2001,31.0613,30.6072
15/02/2001,34.5698,31.7803
16/02/2001,33.6644,29.9033
19/02/2001,34.683,30.92
20/02/2001,29.2504,28.8084
21/02/2001,28.6845,27.7135
22/02/2001,25.0628,25.2891
23/02/2001,25.176,23.8813
26/02/2001,26.5341,25.5237
27/02/2001,26.6473,27.0878
28/02/2001,25.7419,26.5404
01/03/2001,22.9124,25.6019
02/03/2001,24.8364,25.2891
05/03/2001,27.3264,25.5237
06/03/2001,28.4582,28.652
07/03/2001,29.3636,29.5905
08/03/2001,28.6845,30.3726
09/03/2001,28.7977,28.261
12/03/2001,23.7046,24.2724
13/03/2001,23.3651,24.507
14/03/2001,20.8752,22.7082
15/03/2001,21.1015,24.1159
16/03/2001,16.5744,20.9094
19/03/2001,16.9139,19.2671
20/03/2001,14.8767,17.8593
21/03/2001,11.2549,12.3065
22/03/2001,5.4828,8.8654
23/03/2001,9.3309,10.586
26/03/2001,13.6317,14.9656
27/03/2001,17.7062,19.2671
28/03/2001,14.7635,18.9542
29/03/2001,16.2348,19.2671
30/03/2001,17.1403,20.8312
02/04/2001,17.4798,19.9709
03/04/2001,11.2549,15.3567
04/04/2001,15.2162,17.7029
05/04/2001,17.593,18.6414
06/04/2001,17.7062,17.7029
09/04/2001,19.4038,19.3453
10/04/2001,21.1015,21.3083
11/04/2001,22.5728,21.3083
12/04/2001,23.8178,23.2776
13/04/2001,23.8178,23.2776
16/04/2001,23.8178,23.2776
17/04/2001,22.7992,22.0172
18/04/2001,25.5155,25.6407
19/04/2001,25.6287,25.0105
20/04/2001,20.0829,19.6541
23/04/2001,16.2348,17.8423
24/04/2001,18.272,20.4418
25/04/2001,17.2534,19.0239
26/04/2001,23.2519,22.096
27/04/2001,25.6287,24.0653
30/04/2001,27.6107,26.1921
01/05/2001,27.6107,26.1921
02/05/2001,24.3065,23.6714
03/05/2001,22.3696,22.0172
04/05/2001,23.395,22.8049
07/05/2001,23.9647,24.4591
08/05/2001,23.8508,24.0653
09/05/2001,25.9017,24.3804
10/05/2001,28.978,27.9251
11/05/2001,27.6107,26.1921
14/05/2001,26.6992,25.7983
15/05/2001,28.1804,26.5072
16/05/2001,27.041,26.5072
17/05/2001,28.978,28.7916
18/05/2001,29.4337,29.7368
21/05/2001,28.5222,28.3189
22/05/2001,26.8132,26.7435
23/05/2001,28.6362,26.3497
24/05/2001,27.2689,26.4284
25/05/2001,25.218,24.0653
28/05/2001,26.1295,25.7195
29/05/2001,24.8762,26.0346
30/05/2001,25.1041,26.1133
31/05/2001,28.1804,26.8223
01/06/2001,25.5599,25.877
04/06/2001,28.1804,27.4525
05/06/2001,28.4083,27.5312
