Dates,san,bbva
05/04/1999,8.8859,13.4119
06/04/1999,9.1473,13.6233
07/04/1999,9.0831,13.7002
08/04/1999,9.1702,13.825
09/04/1999,9.3032,13.9692
12/04/1999,9.4453,13.7386
13/04/1999,9.6608,13.9499
14/04/1999,9.7754,13.9884
15/04/1999,9.9038,13.9499
16/04/1999,10.0506,14.0268
19/04/1999,9.9772,14.267
20/04/1999,9.78,14.1133
21/04/1999,9.5783,14.046
22/04/1999,9.6287,14.1037
23/04/1999,9.4453,13.9692
26/04/1999,9.482,13.8539
27/04/1999,9.537,13.7962
28/04/1999,9.482,13.8058
29/04/1999,9.4224,13.6713
30/04/1999,9.4637,13.729
03/05/1999,9.4866,13.8635
04/05/1999,9.4774,13.9884
05/05/1999,9.4545,13.6425
06/05/1999,9.5279,13.7098
07/05/1999,9.5187,13.7002
10/05/1999,9.4545,13.6617
11/05/1999,9.4362,13.729
12/05/1999,9.4453,13.6425
13/05/1999,9.5049,13.8539
14/05/1999,9.6379,13.9884
17/05/1999,9.372,13.4504
18/05/1999,9.4178,13.46
19/05/1999,9.294,13.6425
20/05/1999,9.3444,13.6809
21/05/1999,9.294,13.729
24/05/1999,9.2298,13.7578
25/05/1999,9.239,13.5368
26/05/1999,9.2069,13.5272
27/05/1999,9.2161,13.4984
28/05/1999,9.1702,13.3447
31/05/1999,9.2115,13.4408
01/06/1999,9.2298,13.4984
02/06/1999,9.294,13.4215
03/06/1999,9.3674,13.5176
04/06/1999,9.4637,13.4888
07/06/1999,9.4407,13.4984
08/06/1999,9.5829,13.5368
09/06/1999,9.4682,13.46
10/06/1999,9.3995,13.4696
11/06/1999,9.2803,13.6905
14/06/1999,9.2894,13.5945
15/06/1999,9.3811,13.7098
16/06/1999,9.482,13.5849
17/06/1999,9.5279,13.6329
18/06/1999,9.5829,13.6905
21/06/1999,9.6287,13.7578
22/06/1999,9.5187,13.7866
23/06/1999,9.5187,13.777
24/06/1999,9.5737,13.777
25/06/1999,9.3903,13.6329
28/06/1999,9.4453,13.6425
29/06/1999,9.537,13.6809
30/06/1999,9.5737,13.6905
01/07/1999,9.5645,13.7002
02/07/1999,9.537,13.6809
05/07/1999,9.6287,13.729
06/07/1999,9.5554,13.6905
07/07/1999,9.537,13.5945
08/07/1999,9.4453,13.5849
09/07/1999,9.3903,13.5176
12/07/1999,9.3995,13.4504
13/07/1999,9.2619,13.3255
14/07/1999,9.1152,13.1333
15/07/1999,9.1152,12.9988
16/07/1999,9.0969,12.9412
19/07/1999,9.2069,12.8739
20/07/1999,9.1886,12.7874
21/07/1999,9.051,12.5857
22/07/1999,9.0418,12.5569
23/07/1999,8.8401,12.5665
26/07/1999,8.6659,12.3455
27/07/1999,8.6934,12.0381
28/07/1999,8.6108,11.7979
29/07/1999,8.5741,11.5097
30/07/1999,8.5191,11.4712
02/08/1999,8.4274,11.5097
03/08/1999,8.6475,11.4712
04/08/1999,8.5833,11.4136
05/08/1999,8.4824,11.2695
06/08/1999,8.4916,11.1638
09/08/1999,8.5925,11.0869
10/08/1999,8.5283,11.0773
11/08/1999,8.6017,10.914
12/08/1999,8.6842,11.1926
13/08/1999,8.5741,11.4712
16/08/1999,8.6383,11.7306
17/08/1999,8.7117,12.0477
18/08/1999,8.8859,12.1438
19/08/1999,8.8951,11.9708
20/08/1999,8.9868,12.0861
23/08/1999,8.996,12.2975
24/08/1999,8.9868,12.3359
25/08/1999,9.106,12.5088
26/08/1999,9.1519,12.5377
27/08/1999,9.106,12.5857
30/08/1999,9.1244,12.5857
31/08/1999,9.0418,12.3551
01/09/1999,8.9318,12.2783
02/09/1999,8.9134,12.1822
03/09/1999,8.9868,12.2014
06/09/1999,8.9134,12.259
07/09/1999,8.9043,12.3263
08/09/1999,8.7667,12.0765
09/09/1999,8.9226,12.1053
10/09/1999,9.0327,12.1726
13/09/1999,8.9685,12.3359
14/09/1999,9.0235,12.3455
15/09/1999,9.1152,12.2879
16/09/1999,9.0785,12.1534
17/09/1999,9.161,12.2494
20/09/1999,9.161,12.1534
21/09/1999,9.0235,12.0093
22/09/1999,9.0052,11.9132
23/09/1999,9.1335,12.1053
24/09/1999,9.1244,11.9996
27/09/1999,9.1519,12.1534
28/09/1999,9.1427,12.1149
29/09/1999,9.0969,12.0477
30/09/1999,8.9501,11.9324
01/10/1999,8.9685,11.9516
04/10/1999,8.9685,12.0093
05/10/1999,8.9776,12.2398
06/10/1999,8.8676,12.2206
07/10/1999,8.941,12.432
08/10/1999,8.9318,12.6337
11/10/1999,8.9318,12.8163
12/10/1999,8.9318,12.8163
13/10/1999,8.8676,12.4896
14/10/1999,8.8217,12.5665
15/10/1999,8.7025,12.2975
18/10/1999,8.5283,12.3743
19/10/1999,8.6659,12.3743
20/10/1999,8.8401,13.0661
21/10/1999,8.7576,12.5665
22/10/1999,8.7667,12.1438
25/10/1999,8.8401,12.211
26/10/1999,8.7025,12.0477
27/10/1999,8.6842,12.0285
28/10/1999,8.8217,12.1053
29/10/1999,9.1244,12.3263
01/11/1999,9.1244,12.3263
02/11/1999,9.1244,12.3359
03/11/1999,9.4453,12.4512
04/11/1999,9.9222,12.6145
05/11/1999,9.8488,12.8355
08/11/1999,9.858,12.9027
09/11/1999,10.0414,12.9796
10/11/1999,10.0047,12.8355
11/11/1999,10.0781,12.8451
12/11/1999,10.0414,12.8067
15/11/1999,10.0322,12.9892
16/11/1999,10.1789,12.97
17/11/1999,10.1973,13.0276
18/11/1999,10.1423,12.9123
19/11/1999,10.0872,12.8163
22/11/1999,10.0781,12.8643
23/11/1999,9.968,12.8643
24/11/1999,10.0139,13.0084
25/11/1999,10.1056,13.3543
26/11/1999,10.1514,13.4023
29/11/1999,10.1056,13.4119
30/11/1999,10.1331,13.3639
01/12/1999,10.0964,13.3255
02/12/1999,10.0414,13.2198
03/12/1999,10.0322,13.3735
06/12/1999,10.0322,13.3735
07/12/1999,10.0689,13.6041
08/12/1999,10.0689,13.6041
09/12/1999,10.2156,13.7386
10/12/1999,10.3623,13.7194
13/12/1999,10.3532,13.6713
14/12/1999,10.4082,13.6329
15/12/1999,10.2706,13.5464
16/12/1999,10.3623,13.5272
17/12/1999,11.0868,13.5464
20/12/1999,10.8575,13.5945
21/12/1999,10.6283,13.5272
22/12/1999,10.454,13.5368
23/12/1999,10.5274,13.508
24/12/1999,10.5274,13.508
27/12/1999,10.6191,13.6425
28/12/1999,10.5182,13.5368
29/12/1999,10.3257,13.508
30/12/1999,10.5366,13.5945
31/12/1999,10.5366,13.5945
03/01/2000,10.5824,13.7578
04/01/2000,10.3623,13.5368
05/01/2000,10.1239,13.2102
06/01/2000,10.1239,13.2102
07/01/2000,10.4082,13.2486
10/01/2000,10.4724,13.2774
11/01/2000,10.289,12.8931
12/01/2000,9.8488,12.6433
13/01/2000,9.913,12.5377
14/01/2000,10.0964,12.48
17/01/2000,10.1973,12.5377
18/01/2000,9.7204,12.3263
19/01/2000,9.2711,12.0573
20/01/2000,9.6104,12.163
21/01/2000,9.6012,12.0093
24/01/2000,9.4453,12.0477
25/01/2000,9.2803,12.259
26/01/2000,9.5279,12.5377
27/01/2000,9.6104,13.1141
28/01/2000,9.5737,13.1717
31/01/2000,9.372,12.9796
01/02/2000,9.4178,13.0084
02/02/2000,9.4362,12.9316
03/02/2000,9.5737,13.1141
04/02/2000,9.6654,13.1141
07/02/2000,9.8488,12.8547
08/02/2000,10.0781,13.018
09/02/2000,10.0872,13.0661
10/02/2000,9.8305,12.6818
11/02/2000,9.6379,13.6233
14/02/2000,9.9222,16.1789
15/02/2000,10.0047,15.2758
16/02/2000,10.2156,14.9395
17/02/2000,10.344,14.8434
18/02/2000,10.2248,14.7954
21/02/2000,10.1606,14.6993
22/02/2000,10.2248,14.6032
23/02/2000,10.1789,14.8723
24/02/2000,10.1698,15.295
25/02/2000,10.1239,15.2566
28/02/2000,10.0506,14.8915
29/02/2000,10.1789,14.8626
01/03/2000,10.0597,14.6897
02/03/2000,10.1606,14.6801
03/03/2000,10.3165,14.6513
06/03/2000,10.1973,15.0836
07/03/2000,10.1331,14.8146
08/03/2000,10.1331,14.8434
09/03/2000,10.2248,14.7954
10/03/2000,10.2615,14.8338
13/03/2000,10.4082,14.6225
14/03/2000,10.3532,14.267
15/03/2000,10.4999,14.1709
16/03/2000,10.6374,14.6993
17/03/2000,11.0043,14.8819
20/03/2000,10.9951,14.7089
21/03/2000,10.885,14.8338
22/03/2000,10.8667,14.9203
23/03/2000,10.7475,14.9395
24/03/2000,10.665,14.8242
27/03/2000,10.5733,14.853
28/03/2000,10.72,14.9203
29/03/2000,10.6741,14.853
30/03/2000,10.5274,14.5552
31/03/2000,10.4082,14.757
03/04/2000,10.4265,14.8146
04/04/2000,10.6374,15.1797
05/04/2000,10.5457,15.2181
06/04/2000,10.2706,15.295
07/04/2000,10.1881,15.3622
10/04/2000,10.3532,15.3334
11/04/2000,10.3532,15.3334
12/04/2000,10.4174,15.3718
13/04/2000,10.5733,15.1605
14/04/2000,10.6374,15.2277
17/04/2000,10.2523,14.5936
18/04/2000,10.3257,14.6609
19/04/2000,10.1973,14.6321
20/04/2000,10.3532,14.7858
21/04/2000,10.3532,14.7858
24/04/2000,10.3532,14.7858
25/04/2000,10.454,14.7089
26/04/2000,10.5916,14.5072
27/04/2000,10.4999,14.3919
28/04/2000,10.5274,14.4111
01/05/2000,10.5274,14.4111
02/05/2000,10.72,14.5264
03/05/2000,10.6833,14.5072
04/05/2000,10.5274,14.3631
05/05/2000,10.5366,14.1613
08/05/2000,10.3257,14.046
09/05/2000,10.4999,13.8539
10/05/2000,10.0414,13.9019
11/05/2000,9.8947,13.9211
12/05/2000,9.9864,13.9211
15/05/2000,9.8855,13.8635
16/05/2000,9.9772,13.8347
17/05/2000,9.8763,14.0844
18/05/2000,9.6929,14.1229
19/05/2000,9.6012,13.8731
22/05/2000,9.5554,13.6905
23/05/2000,9.4178,13.6905
24/05/2000,9.3811,13.6137
25/05/2000,9.6196,14.1805
26/05/2000,9.537,14.6129
29/05/2000,9.5737,14.4303
30/05/2000,9.6196,14.4111
31/05/2000,9.6837,14.6032
01/06/2000,9.9955,14.805
02/06/2000,10.0872,15.2566
05/06/2000,10.0872,15.1317
06/06/2000,10.0047,15.1989
07/06/2000,9.8672,15.0836
08/06/2000,9.9955,15.074
09/06/2000,9.9955,15.0836
12/06/2000,9.8396,15.026
13/06/2000,9.803,15.1317
14/06/2000,9.7846,15.3238
15/06/2000,9.8855,15.3334
16/06/2000,9.9955,15.3142
19/06/2000,9.9589,15.2085
20/06/2000,9.9038,15.1701
21/06/2000,9.8121,14.9683
22/06/2000,9.9405,14.8434
23/06/2000,9.9864,14.7666
26/06/2000,10.0322,14.9203
27/06/2000,10.0139,14.9779
28/06/2000,10.023,14.8819
29/06/2000,9.968,14.8723
30/06/2000,10.1331,15.0356
03/07/2000,10.1331,15.122
04/07/2000,10.3899,15.1701
05/07/2000,10.5457,15.2566
06/07/2000,10.3257,15.2758
07/07/2000,10.3899,15.1701
10/07/2000,10.454,15.1605
11/07/2000,10.4449,15.0356
12/07/2000,10.2798,15.0164
13/07/2000,10.3348,14.8915
14/07/2000,10.344,14.8723
17/07/2000,10.3257,14.8723
18/07/2000,10.2982,14.8723
19/07/2000,10.2798,15.0932
20/07/2000,10.2982,15.122
21/07/2000,10.2982,15.1317
24/07/2000,10.3348,15.1028
25/07/2000,10.3807,15.1317
26/07/2000,10.3715,15.0836
27/07/2000,10.3073,14.9683
28/07/2000,10.2706,14.9683
31/07/2000,10.2156,14.9875
01/08/2000,10.2431,15.0068
02/08/2000,10.3165,15.0932
03/08/2000,10.3623,15.0644
04/08/2000,10.3532,15.1317
07/08/2000,10.5366,15.3718
08/08/2000,10.775,15.8618
09/08/2000,10.8117,16.0348
10/08/2000,10.7383,15.9483
11/08/2000,10.8484,16.0059
14/08/2000,10.9401,16.1596
15/08/2000,11.0593,16.3134
16/08/2000,11.2885,16.4671
17/08/2000,11.2885,16.3422
18/08/2000,11.637,16.5824
21/08/2000,11.5086,16.5439
22/08/2000,11.3436,16.4959
23/08/2000,11.3344,16.4863
24/08/2000,11.2519,16.2942
25/08/2000,11.1235,16.323
28/08/2000,11.1143,16.3134
29/08/2000,11.0501,16.3326
30/08/2000,11.096,16.323
31/08/2000,11.1418,16.2269
01/09/2000,11.1143,16.2365
04/09/2000,10.9951,16.1789
05/09/2000,10.9767,16.2749
06/09/2000,11.0134,16.4094
07/09/2000,11.096,16.3422
08/09/2000,11.0868,16.3518
11/09/2000,11.1877,16.5247
12/09/2000,11.2152,16.5343
13/09/2000,11.1877,16.5055
14/09/2000,11.4628,16.6784
15/09/2000,11.5453,16.7649
18/09/2000,11.4903,16.6304
19/09/2000,11.206,16.2845
20/09/2000,11.2794,16.1885
21/09/2000,11.206,16.1693
22/09/2000,11.4077,16.1404
