Dates,san,bbva
05/04/1999,8.6934,13.1333
06/04/1999,8.8172,13.3735
07/04/1999,8.941,13.4792
08/04/1999,8.9501,13.5945
09/04/1999,9.0693,13.5464
12/04/1999,9.1702,13.5176
13/04/1999,9.4866,13.7866
14/04/1999,9.5875,13.7482
15/04/1999,9.5599,13.7386
16/04/1999,9.5829,13.729
19/04/1999,9.6562,13.8539
20/04/1999,9.3582,13.8539
21/04/1999,9.3169,13.8443
22/04/1999,9.239,13.7386
23/04/1999,9.2848,13.7386
26/04/1999,9.3307,13.4504
27/04/1999,9.4041,13.4408
28/04/1999,9.3124,13.5464
29/04/1999,9.2436,13.4504
30/04/1999,9.3995,13.4984
03/05/1999,9.3582,13.3831
04/05/1999,9.3261,13.5464
05/05/1999,9.2848,13.4504
06/05/1999,9.3674,13.4792
07/05/1999,9.3307,13.4023
10/05/1999,9.294,13.4215
11/05/1999,9.3124,13.4792
12/05/1999,9.2848,13.4504
13/05/1999,9.3674,13.5464
14/05/1999,9.3124,13.4696
17/05/1999,9.239,13.287
18/05/1999,9.1748,13.2294
19/05/1999,9.0097,13.3159
20/05/1999,9.1977,13.4696
21/05/1999,9.1198,13.4888
24/05/1999,9.1289,13.5464
25/05/1999,9.0923,13.3735
26/05/1999,9.1014,13.3351
27/05/1999,9.0602,13.1717
28/05/1999,9.0648,13.191
31/05/1999,9.0693,13.1237
01/06/1999,9.0785,13.239
02/06/1999,9.0969,13.1237
03/06/1999,9.1931,13.2774
04/06/1999,9.2757,13.2966
07/06/1999,9.3444,13.3159
08/06/1999,9.4453,13.191
09/06/1999,9.3811,13.2582
10/06/1999,9.184,13.0757
11/06/1999,9.106,13.2102
14/06/1999,9.1519,13.3351
15/06/1999,9.1244,13.3735
16/06/1999,9.3169,13.3543
17/06/1999,9.4178,13.4215
18/06/1999,9.4178,13.5176
21/06/1999,9.5003,13.6233
22/06/1999,9.3811,13.6521
23/06/1999,9.3261,13.5656
24/06/1999,9.3444,13.4984
25/06/1999,9.2894,13.3831
28/06/1999,9.2161,13.4792
29/06/1999,9.3444,13.4984
30/06/1999,9.2527,13.4504
01/07/1999,9.2619,13.5656
02/07/1999,9.3903,13.5656
05/07/1999,9.5003,13.5945
06/07/1999,9.4086,13.5464
07/07/1999,9.3169,13.4504
08/07/1999,9.1794,13.3735
09/07/1999,9.2069,13.4119
12/07/1999,9.2619,13.3351
13/07/1999,9.051,12.9892
14/07/1999,8.8584,12.8931
15/07/1999,8.8401,12.8643
