Dates,san,bbva
05/04/1999,8.753,13.1429
06/04/1999,8.8493,13.4888
07/04/1999,9.0831,13.4888
08/04/1999,9.0464,13.729
09/04/1999,9.2161,13.9307
12/04/1999,9.1702,13.6425
13/04/1999,9.4866,13.8347
14/04/1999,9.6012,13.8635
15/04/1999,9.6975,13.7866
16/04/1999,9.8763,13.7866
19/04/1999,9.9543,13.9499
20/04/1999,9.7434,14.046
21/04/1999,9.3307,13.9499
22/04/1999,9.6287,14.0844
23/04/1999,9.3444,13.9115
26/04/1999,9.4682,13.7866
27/04/1999,9.4866,13.6041
28/04/1999,9.4774,13.7866
29/04/1999,9.3078,13.6617
30/04/1999,9.4453,13.4984
03/05/1999,9.3949,13.4984
04/05/1999,9.4362,13.9307
05/05/1999,9.3078,13.4696
06/05/1999,9.4912,13.6905
07/05/1999,9.3674,13.5176
10/05/1999,9.4086,13.6329
11/05/1999,9.3811,13.556
12/05/1999,9.3078,13.5368
13/05/1999,9.3995,13.6233
14/05/1999,9.4591,13.8154
17/05/1999,9.2848,13.4311
18/05/1999,9.3903,13.46
19/05/1999,9.1702,13.3543
20/05/1999,9.3307,13.6617
21/05/1999,9.2436,13.6137
24/05/1999,9.1931,13.6425
25/05/1999,9.0969,13.4119
26/05/1999,9.1702,13.5272
27/05/1999,9.2069,13.46
28/05/1999,9.0648,13.2966
31/05/1999,9.1656,13.3639
01/06/1999,9.106,13.2966
02/06/1999,9.239,13.3159
03/06/1999,9.1931,13.3543
04/06/1999,9.3215,13.4888
07/06/1999,9.4224,13.4504
08/06/1999,9.4453,13.5176
09/06/1999,9.4453,13.2582
10/06/1999,9.3536,13.4119
11/06/1999,9.2619,13.2582
14/06/1999,9.2527,13.5945
15/06/1999,9.1702,13.4023
16/06/1999,9.3536,13.4792
17/06/1999,9.4453,13.6329
18/06/1999,9.5279,13.5464
21/06/1999,9.5737,13.6329
22/06/1999,9.4453,13.729
23/06/1999,9.5187,13.777
24/06/1999,9.3995,13.6905
25/06/1999,9.3078,13.4504
28/06/1999,9.3444,13.4984
29/06/1999,9.3444,13.6233
30/06/1999,9.537,13.6425
01/07/1999,9.2619,13.6425
02/07/1999,9.427,13.5753
05/07/1999,9.537,13.6905
06/07/1999,9.537,13.6905
07/07/1999,9.4728,13.5368
08/07/1999,9.4086,13.5176
09/07/1999,9.2436,13.4504
12/07/1999,9.3995,13.4504
13/07/1999,9.2161,13.2774
14/07/1999,9.0418,13.1141
15/07/1999,8.941,12.922
16/07/1999,9.051,12.9412
19/07/1999,8.941,12.7778
20/07/1999,9.1244,12.7778
21/07/1999,8.9501,12.5088
22/07/1999,9.0418,12.5377
23/07/1999,8.8401,12.5665
26/07/1999,8.6383,12.3455
27/07/1999,8.62,12.0093
28/07/1999,8.5741,11.7979
29/07/1999,8.5283,11.5097
30/07/1999,8.4824,11.4328
02/08/1999,8.3907,11.2695
03/08/1999,8.3449,11.4328
04/08/1999,8.3907,11.4136
05/08/1999,8.4824,11.2118
06/08/1999,8.3816,11.1638
09/08/1999,8.3174,10.962
10/08/1999,8.51,11.0005
11/08/1999,8.3724,10.6546
12/08/1999,8.6475,11.0101
13/08/1999,8.5741,11.0389
16/08/1999,8.6292,11.625
17/08/1999,8.4091,11.7114
18/08/1999,8.7576,12.0093
19/08/1999,8.8217,11.8651
20/08/1999,8.8951,12.0093
23/08/1999,8.996,12.1534
24/08/1999,8.8401,12.259
25/08/1999,9.0235,12.3839
26/08/1999,9.1152,12.4128
27/08/1999,8.941,12.3935
30/08/1999,9.1152,12.5761
31/08/1999,9.0052,12.3263
01/09/1999,8.8493,12.1341
02/09/1999,8.8493,12.163
03/09/1999,8.73,11.9612
06/09/1999,8.8951,12.2494
07/09/1999,8.8034,12.1534
08/09/1999,8.6383,11.99
09/09/1999,8.6842,11.9132
10/09/1999,8.8951,12.0765
13/09/1999,8.8859,12.2014
14/09/1999,8.8676,12.0765
15/09/1999,8.8493,12.0573
16/09/1999,8.941,12.0861
17/09/1999,9.1152,12.2494
20/09/1999,9.1519,12.1341
21/09/1999,9.0143,12.0093
22/09/1999,8.8584,11.721
23/09/1999,8.9501,11.9324
24/09/1999,8.9043,11.8267
27/09/1999,8.9868,11.9996
28/09/1999,9.051,12.1053
29/09/1999,9.0785,12.0477
30/09/1999,8.8859,11.9132
01/10/1999,8.9043,11.894
04/10/1999,8.8034,11.9132
05/10/1999,8.941,12.0285
