Dates,san,bbva
05/04/1999,6.6595,3.9248
06/04/1999,6.9434,4.03
07/04/1999,6.9153,4.0499
08/04/1999,7.01,4.0784
09/04/1999,7.0871,4.0727
12/04/1999,7.1397,4.0641
13/04/1999,7.371,4.1239
14/04/1999,7.4095,4.121
15/04/1999,7.5007,4.104
16/04/1999,7.5357,4.1466
19/04/1999,7.5778,4.2234
20/04/1999,7.1922,4.1523
21/04/1999,7.2308,4.1409
22/04/1999,7.1782,4.1096
23/04/1999,7.1957,4.067
26/04/1999,7.1957,4.0357
27/04/1999,7.2448,4.067
28/04/1999,7.1782,4.0243
29/04/1999,7.1852,3.9873
30/04/1999,7.2062,4.0272
03/05/1999,7.2518,4.104
04/05/1999,7.1502,4.0442
05/05/1999,7.1817,4.0016
06/05/1999,7.1677,3.9959
07/05/1999,7.2378,4.03
10/05/1999,7.2238,4.0442
11/05/1999,7.1502,4.03
12/05/1999,7.2133,4.03
13/05/1999,7.2308,4.0897
14/05/1999,7.1747,3.9959
17/05/1999,7.1151,3.9418
18/05/1999,7.0485,3.9276
19/05/1999,7.1046,4.0385
20/05/1999,7.066,3.9987
21/05/1999,7.01,4.0528
24/05/1999,6.9924,4.0215
25/05/1999,6.9924,3.976
26/05/1999,7.038,3.9646
27/05/1999,6.9959,3.902
28/05/1999,7.01,3.9333
31/05/1999,7.0065,3.9589
01/06/1999,7.0555,3.976
02/06/1999,7.017,3.9219
03/06/1999,7.1537,3.9987
04/06/1999,7.2168,3.9817
07/06/1999,7.2027,3.9873
08/06/1999,7.2728,3.9106
09/06/1999,7.1817,3.9561
10/06/1999,7.045,3.8707
11/06/1999,7.0941,4.0385
14/06/1999,7.01,3.9788
15/06/1999,7.1712,3.9959
16/06/1999,7.1642,3.9788
17/06/1999,7.2203,3.993
18/06/1999,7.3254,4.0471
21/06/1999,7.2904,4.0556
22/06/1999,7.2693,4.0784
23/06/1999,7.2273,4.0499
24/06/1999,7.1992,3.9959
25/06/1999,7.1081,4.0073
28/06/1999,7.2203,4.0385
29/06/1999,7.2904,4.03
30/06/1999,3.5881,3.7722
01/07/1999,3.6946,3.8287
02/07/1999,3.6946,3.8314
05/07/1999,3.7302,3.8476
06/07/1999,3.6946,3.8045
07/07/1999,3.6414,3.7883
08/07/1999,3.581,3.7479
09/07/1999,3.6378,3.7883
12/07/1999,3.6271,3.7372
13/07/1999,3.5454,3.6645
14/07/1999,3.4637,3.616
15/07/1999,3.4886,3.6268
16/07/1999,3.4637,3.5837
19/07/1999,3.549,3.5756
20/07/1999,3.5348,3.5164
21/07/1999,3.5064,3.5029
22/07/1999,3.446,3.4706
23/07/1999,3.3891,3.441
26/07/1999,3.3394,3.371
27/07/1999,3.2612,3.3064
28/07/1999,3.3074,3.2175
29/07/1999,3.2506,3.1421
30/07/1999,3.2932,3.161
02/08/1999,3.2364,3.2175
03/08/1999,3.2364,3.1825
04/08/1999,3.3252,3.1664
05/08/1999,3.1973,3.1098
06/08/1999,3.2186,3.0721
09/08/1999,3.3074,3.0721
10/08/1999,3.2257,2.9779
11/08/1999,3.3181,3.0344
12/08/1999,3.311,3.0937
13/08/1999,3.3039,3.2148
16/08/1999,3.279,3.2714
17/08/1999,3.3572,3.3414
18/08/1999,3.4104,3.3064
19/08/1999,3.414,3.3333
20/08/1999,3.4673,3.3737
23/08/1999,3.3962,3.4275
24/08/1999,3.4744,3.4518
25/08/1999,3.5206,3.4545
26/08/1999,3.4957,3.4895
27/08/1999,3.5135,3.5137
30/08/1999,3.5206,3.4948
31/08/1999,3.3785,3.3979
01/09/1999,3.4531,3.4168
02/09/1999,3.3429,3.3279
03/09/1999,3.4637,3.406
06/09/1999,3.4033,3.406
07/09/1999,3.3749,3.3548
08/09/1999,3.3607,3.3548
09/09/1999,3.4566,3.371
10/09/1999,3.4637,3.4114
13/09/1999,3.4247,3.3818
14/09/1999,3.446,3.3925
15/09/1999,3.5064,3.4168
16/09/1999,3.4637,3.406
17/09/1999,3.5348,3.3683
20/09/1999,3.4921,3.3656
21/09/1999,3.4566,3.3198
22/09/1999,3.4673,3.3279
23/09/1999,3.5099,3.3629
24/09/1999,3.5099,3.3629
27/09/1999,3.5383,3.406
28/09/1999,3.5099,3.3441
29/09/1999,3.4708,3.3468
30/09/1999,3.3506,2.9779
01/10/1999,3.3403,2.9899
04/10/1999,3.3748,2.9947
05/10/1999,3.3541,3.0525
06/10/1999,3.3299,3.05
07/10/1999,3.361,3.1126
08/10/1999,3.3437,3.1631
11/10/1999,3.3506,3.1799
12/10/1999,3.3506,3.1799
13/10/1999,3.2954,3.1006
14/10/1999,3.2782,3.0885
15/10/1999,3.2264,3.0693
18/10/1999,3.1781,3.0813
19/10/1999,3.254,3.0813
20/10/1999,3.3092,3.1294
21/10/1999,3.2402,3.0019
22/10/1999,3.2851,3.0212
25/10/1999,3.2161,3.0068
26/10/1999,3.2609,3.0019
27/10/1999,3.2506,2.9803
28/10/1999,3.3058,3.0308
29/10/1999,3.4128,3.0741
01/11/1999,3.4128,3.0741
02/11/1999,3.4266,3.0669
03/11/1999,3.5542,3.1174
04/11/1999,3.6612,3.1511
05/11/1999,3.6923,3.192
08/11/1999,3.7095,3.2184
09/11/1999,3.6957,3.1896
10/11/1999,3.7613,3.2112
11/11/1999,3.7475,3.1896
12/11/1999,3.7164,3.1872
15/11/1999,3.7751,3.2016
16/11/1999,3.8303,3.228
17/11/1999,3.8165,3.2232
18/11/1999,3.7613,3.1968
19/11/1999,3.7475,3.1848
22/11/1999,3.6405,3.1872
23/11/1999,3.7268,3.2112
24/11/1999,3.7682,3.2473
25/11/1999,3.7992,3.3219
26/11/1999,3.813,3.3435
29/11/1999,3.7233,3.3074
30/11/1999,3.7647,3.3315
01/12/1999,3.7854,3.3098
02/12/1999,3.7268,3.2713
03/12/1999,3.7095,3.3291
06/12/1999,3.7095,3.3291
07/12/1999,3.7785,3.3676
08/12/1999,3.7785,3.3676
09/12/1999,3.8441,3.4157
10/12/1999,3.8993,3.382
13/12/1999,3.8717,3.3988
14/12/1999,3.8544,3.4012
15/12/1999,3.8234,3.3724
16/12/1999,3.8855,3.3628
17/12/1999,4.1098,3.3892
20/12/1999,4.0304,3.3772
21/12/1999,3.8924,3.37
22/12/1999,3.8682,3.37
23/12/1999,3.9166,3.382
24/12/1999,3.9166,3.382
27/12/1999,3.9269,3.3676
28/12/1999,3.8475,3.3483
29/12/1999,3.8855,3.37
30/12/1999,3.9914,3.3374
31/12/1999,3.9914,3.3374
03/01/2000,4.0412,3.3468
04/01/2000,3.9453,3.2595
05/01/2000,3.8494,3.1864
06/01/2000,3.8494,3.1864
07/01/2000,4.0199,3.2265
10/01/2000,3.9843,3.1746
11/01/2000,3.8494,3.1108
12/01/2000,3.8139,3.0754
13/01/2000,3.7819,2.9999
14/01/2000,3.8814,3.0589
17/01/2000,3.7784,3.0306
18/01/2000,3.5866,2.9668
19/01/2000,3.5866,2.9621
20/01/2000,3.6612,2.9574
21/01/2000,3.5476,2.896
24/01/2000,3.5866,2.9102
25/01/2000,3.5866,2.9739
26/01/2000,3.6789,3.066
27/01/2000,3.6896,3.1864
28/01/2000,3.576,3.1746
31/01/2000,3.576,3.1273
01/02/2000,3.6008,3.1698
02/02/2000,3.6186,3.1604
03/02/2000,3.6683,3.1864
04/02/2000,3.7003,3.1391
07/02/2000,3.8139,3.0801
08/02/2000,3.8778,3.1982
09/02/2000,3.8068,3.1203
10/02/2000,3.7287,3.0731
11/02/2000,3.5263,3.3091
14/02/2000,3.6967,3.6938
15/02/2000,3.7571,3.5994
16/02/2000,3.9453,3.6136
17/02/2000,3.9417,3.6136
18/02/2000,3.8423,3.6183
21/02/2000,3.9098,3.597
22/02/2000,3.8565,3.5475
23/02/2000,3.9417,3.6442
24/02/2000,3.8352,3.6985
25/02/2000,3.8601,3.7056
28/02/2000,3.8387,3.623
29/02/2000,3.8707,3.564
01/03/2000,3.8636,3.5994
02/03/2000,3.924,3.5852
03/03/2000,3.8849,3.5994
06/03/2000,3.8707,3.6088
07/03/2000,3.8565,3.6065
08/03/2000,3.8885,3.6348
09/03/2000,3.9169,3.6183
10/03/2000,3.9737,3.5475
13/03/2000,3.9559,3.4814
14/03/2000,4.0092,3.4885
15/03/2000,4.0412,3.4295
16/03/2000,4.1086,3.6041
17/03/2000,4.2116,3.6254
20/03/2000,4.2081,3.597
21/03/2000,4.1548,3.6372
22/03/2000,4.1122,3.6537
23/03/2000,4.0412,3.6277
24/03/2000,4.0944,3.6206
27/03/2000,4.0554,3.6324
28/03/2000,4.1264,3.6372
29/03/2000,4.0873,3.5758
30/03/2000,4.0341,3.538
31/03/2000,4.2456,3.8799
03/04/2000,4.2531,3.89
04/04/2000,4.2985,3.986
05/04/2000,4.2267,3.9531
06/04/2000,4.1057,3.9784
07/04/2000,4.1889,4.0112
10/04/2000,4.2645,4.0163
11/04/2000,4.2002,3.991
12/04/2000,4.238,3.9405
13/04/2000,4.3401,3.986
14/04/2000,4.272,3.9001
17/04/2000,4.2078,3.7889
18/04/2000,4.1737,3.7915
19/04/2000,4.1246,3.8142
20/04/2000,4.2456,3.8647
21/04/2000,4.2456,3.8647
24/04/2000,4.2456,3.8647
25/04/2000,4.2985,3.7763
26/04/2000,4.3287,3.7687
27/04/2000,4.2229,3.7435
28/04/2000,4.3363,3.7889
01/05/2000,4.3363,3.7889
02/05/2000,4.4195,3.8192
03/05/2000,4.2342,3.7788
04/05/2000,4.2985,3.7031
05/05/2000,4.2153,3.6778
08/05/2000,4.2418,3.6096
09/05/2000,4.1284,3.5818
10/05/2000,3.9847,3.5919
11/05/2000,4.0792,3.6298
12/05/2000,4.0528,3.6096
15/05/2000,4.015,3.5919
16/05/2000,4.0603,3.6172
17/05/2000,3.9129,3.65
18/05/2000,3.9545,3.6626
19/05/2000,3.8789,3.5919
22/05/2000,3.8184,3.4959
23/05/2000,3.8373,3.5818
24/05/2000,3.8335,3.5768
25/05/2000,3.9658,3.7283
26/05/2000,3.8902,3.8066
29/05/2000,3.8789,3.7359
30/05/2000,3.9393,3.7536
31/05/2000,3.9734,3.7889
01/06/2000,4.1208,3.8698
02/06/2000,4.1133,3.9961
05/06/2000,4.117,3.9531
06/06/2000,3.9961,3.9658
07/06/2000,4.0641,3.9228
08/06/2000,4.1019,3.9304
09/06/2000,4.015,3.9405
12/06/2000,3.9696,3.9102
13/06/2000,3.9583,3.9683
14/06/2000,4.0074,4.0087
15/06/2000,4.0754,4.0289
16/06/2000,4.1208,4.0036
19/06/2000,4.0603,3.943
20/06/2000,4.0263,3.9152
21/06/2000,3.9696,3.8824
22/06/2000,4.083,3.8293
23/06/2000,4.0452,3.8546
26/06/2000,4.1095,3.9152
27/06/2000,4.1208,3.8824
28/06/2000,4.117,3.8799
29/06/2000,4.0717,3.8546
30/06/2000,3.2791,3.181
03/07/2000,3.2613,3.1993
04/07/2000,3.3384,3.1953
05/07/2000,3.2702,3.1749
06/07/2000,3.3088,3.1912
07/07/2000,3.3592,3.1973
10/07/2000,3.3592,3.1912
11/07/2000,3.3414,3.1505
12/07/2000,3.3088,3.1119
13/07/2000,3.3355,3.0997
14/07/2000,3.3384,3.1261
17/07/2000,3.2999,3.1058
18/07/2000,3.3088,3.12
19/07/2000,3.3177,3.1627
20/07/2000,3.3295,3.1993
21/07/2000,3.3028,3.1587
24/07/2000,3.3444,3.1912
25/07/2000,3.3088,3.1749
26/07/2000,3.3355,3.1485
27/07/2000,3.3266,3.1404
28/07/2000,3.3058,3.1322
31/07/2000,3.3058,3.1709
01/08/2000,3.2969,3.1709
02/08/2000,3.3325,3.1912
03/08/2000,3.3325,3.181
04/08/2000,3.3444,3.1912
07/08/2000,3.4097,3.2522
08/08/2000,3.4334,3.3192
09/08/2000,3.4601,3.366
10/08/2000,3.4453,3.364
11/08/2000,3.5105,3.3843
14/08/2000,3.5284,3.4066
15/08/2000,3.5788,3.4453
16/08/2000,3.653,3.4534
17/08/2000,3.6471,3.429
18/08/2000,3.7301,3.4961
21/08/2000,3.6708,3.4981
22/08/2000,3.6708,3.4595
23/08/2000,3.653,3.4453
24/08/2000,3.5462,3.3944
25/08/2000,3.5788,3.4351
28/08/2000,3.561,3.4493
29/08/2000,3.5016,3.4554
30/08/2000,3.5877,3.4188
31/08/2000,3.5907,3.3965
01/09/2000,3.5313,3.4249
04/09/2000,3.4987,3.3883
05/09/2000,3.5402,3.4351
06/09/2000,3.5284,3.4595
07/09/2000,3.5877,3.4351
08/09/2000,3.5402,3.4351
11/09/2000,3.6203,3.4961
12/09/2000,3.6203,3.492
13/09/2000,3.5966,3.4859
14/09/2000,3.7094,3.5286
15/09/2000,3.7242,3.5469
18/09/2000,3.6292,3.4371
19/09/2000,3.6263,3.4209
20/09/2000,3.5996,3.364
21/09/2000,3.5669,3.3172
22/09/2000,3.6916,3.4148
25/09/2000,3.6797,3.4473
26/09/2000,3.6678,3.3904
27/09/2000,3.65,3.3924
28/09/2000,3.7064,3.5123
29/09/2000,2.7565,3.2873
02/10/2000,2.7499,3.3507
03/10/2000,2.7654,3.3526
04/10/2000,2.7033,3.3219
05/10/2000,2.7698,3.295
06/10/2000,2.7366,3.2681
09/10/2000,2.6546,3.1645
10/10/2000,2.7078,3.2163
11/10/2000,2.5704,3.0627
12/10/2000,2.5704,3.0627
13/10/2000,2.5194,3.007
16/10/2000,2.5239,3.1241
17/10/2000,2.577,3.1299
18/10/2000,2.4818,3.0243
19/10/2000,2.577,3.1165
20/10/2000,2.5926,3.1779
23/10/2000,2.5216,3.1779
24/10/2000,2.6502,3.2931
25/10/2000,2.5948,3.1568
26/10/2000,2.4507,2.9763
27/10/2000,2.4906,2.8899
30/10/2000,2.4951,2.9379
31/10/2000,2.5305,3.0147
01/11/2000,2.5305,3.0147
02/11/2000,2.6502,3.1107
03/11/2000,2.6369,3.1203
06/11/2000,2.6347,3.1625
07/11/2000,2.6258,3.1414
08/11/2000,2.5704,3.0569
09/11/2000,2.5261,3.0051
10/11/2000,2.4818,2.9475
13/11/2000,2.5061,2.9571
14/11/2000,2.6081,3.0492
15/11/2000,2.6147,3.0723
16/11/2000,2.5704,3.0492
17/11/2000,2.4862,2.9494
20/11/2000,2.3156,2.8419
21/11/2000,2.3156,2.9264
22/11/2000,2.2491,2.7843
23/11/2000,2.2823,2.9072
24/11/2000,2.3555,3.0108
27/11/2000,2.3244,2.9916
28/11/2000,2.2845,2.9859
29/11/2000,2.3555,3.0166
30/11/2000,2.258,2.9494
01/12/2000,2.2779,2.9283
04/12/2000,2.1848,2.8323
05/12/2000,2.2934,2.9667
06/12/2000,2.2934,2.9667
07/12/2000,2.3887,3.0051
08/12/2000,2.3887,3.0051
