Dates,san,bbva
05/04/1999,6029002,3621745
06/04/1999,13596370,5383874
07/04/1999,7991517,5370740
08/04/1999,8840193,5650655
09/04/1999,16389768,9116830
12/04/1999,8468291,4718699
13/04/1999,12077009,6304616
14/04/1999,8947584,5046092
15/04/1999,15511682,4880638
16/04/1999,15378900,10897794
19/04/1999,11874556,8280536
20/04/1999,15088893,5505378
21/04/1999,11750324,4618648
22/04/1999,10950658,9320367
23/04/1999,5275543,3468096
26/04/1999,5744494,4333914
27/04/1999,8489721,4379568
28/04/1999,6988930,4439015
29/04/1999,6735062,3389455
30/04/1999,5900560,2984030
03/05/1999,4780815,4887748
04/05/1999,8073321,5141453
05/05/1999,7511221,4895051
06/05/1999,7500283,3401591
07/05/1999,7053648,4311803
10/05/1999,11002585,3324031
11/05/1999,6132239,3535281
12/05/1999,5664684,2775464
13/05/1999,5627036,3731101
14/05/1999,11975812,8157210
17/05/1999,4421851,5412684
18/05/1999,8207839,4589572
19/05/1999,16280257,7312498
20/05/1999,8786462,2855691
21/05/1999,14183349,5683831
24/05/1999,5129281,1723160
25/05/1999,7295503,4948293
26/05/1999,5848760,3295580
27/05/1999,7345571,4267561
28/05/1999,7253986,3015262
31/05/1999,3460689,2315132
01/06/1999,10028505,3387672
02/06/1999,8697346,2938088
03/06/1999,8375397,3333146
04/06/1999,13016000,2857223
07/06/1999,8307154,3268103
08/06/1999,12224838,4905748
09/06/1999,1635731,4048580
10/06/1999,6729625,5027987
11/06/1999,7939738,8596190
14/06/1999,6515864,3082699
15/06/1999,7357443,4652390
16/06/1999,8695315,4785783
17/06/1999,9856930,5407582
18/06/1999,9898654,6580992
21/06/1999,7239789,3873885
22/06/1999,20519985,4285881
23/06/1999,5322129,2305972
24/06/1999,8490517,3766752
25/06/1999,8913952,2469386
28/06/1999,6513567,1976364
29/06/1999,7505547,3007479
30/06/1999,13157395,2574899
01/07/1999,7528871,4756537
02/07/1999,5870665,3852314
05/07/1999,4950695,3545669
06/07/1999,5900994,10224391
07/07/1999,8113194,4928917
08/07/1999,6900557,4297521
09/07/1999,6600484,18456365
12/07/1999,3747427,19304535
13/07/1999,10388375,7779858
14/07/1999,13121791,4768767
15/07/1999,8372388,4096172
16/07/1999,14551178,14508314
19/07/1999,6082882,4439177
20/07/1999,13178336,7921889
21/07/1999,8415874,4558465
22/07/1999,7984725,9630840
23/07/1999,8947535,6407481
26/07/1999,9296756,6560842
27/07/1999,7779436,7286540
28/07/1999,11687149,10841143
29/07/1999,11861878,9509673
30/07/1999,9486748,8305343
02/08/1999,8080853,7684073
03/08/1999,7541945,5596452
04/08/1999,5483001,3639318
05/08/1999,9765214,11237606
06/08/1999,6974950,5737803
09/08/1999,4613182,6030829
10/08/1999,5880790,6899238
11/08/1999,4297265,4841135
12/08/1999,5369905,6731643
13/08/1999,20119449,6690524
